Time,Actual,Pred_24h,Lower_24h,Upper_24h,Pred_4h,Lower_4h,Upper_4h
2019-10-15 00:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 00:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 00:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 00:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 01:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 01:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 01:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 01:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 02:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 02:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 02:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 02:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 03:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 03:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 03:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 03:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 04:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 04:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 04:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 04:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 05:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 05:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 05:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 05:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 06:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 06:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 06:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 06:45:00-07:00,0.0,0.6971966398880447,0.0,2.2017623960617634,0.0,0.0,0.0
2019-10-15 07:00:00-07:00,0.0,1.1881682977570573,0.0,2.5714334879593728,0.29328386298142817,0.0,2.054669907869079
2019-10-15 07:15:00-07:00,0.0,1.6890984455226694,0.347765142121339,3.030431748924,0.7767481040653952,0.0,2.2517968206811423
2019-10-15 07:30:00-07:00,0.0,2.3298959883810206,0.9932468158169034,3.666545160945138,1.240989201824332,0.0,2.617255217891149
2019-10-15 07:45:00-07:00,0.0,3.1495338373603228,1.7804690683260307,4.518598606394615,1.8966711195050832,0.5611307488193367,3.2322114901908297
2019-10-15 08:00:00-07:00,0.0275240392,3.9665131598723047,2.542564436058158,5.390461883686451,1.7398575183205645,0.4004142707285716,3.0793007659125573
2019-10-15 08:15:00-07:00,0.2919075456666666,5.052799110358053,3.5363962925887016,6.569201928127404,2.5345821194097264,1.1928391765783242,3.8763250622411287
2019-10-15 08:30:00-07:00,0.48749838066666656,6.012517794520092,4.403069795429438,7.621965793610746,3.3996620923694003,2.0156070078497343,4.783717176889066
2019-10-15 08:45:00-07:00,0.7752151163333333,7.1930984532534,5.4598542769173495,8.92634262958945,4.282823043879823,2.8337819408461575,5.731864146913488
2019-10-15 09:00:00-07:00,1.1740446627333334,8.113842768747588,6.279045562658351,9.948639974836826,5.3303686809769,3.7879359725024706,6.872801389451329
2019-10-15 09:15:00-07:00,1.7476010908666666,8.995818034528794,7.0607078736180435,10.930928195439545,6.166789376291295,4.541669207572174,7.791909545010415
2019-10-15 09:30:00-07:00,2.405528070866666,10.22080006254022,8.142586534825785,12.299013590254656,7.140592607582385,5.413023218997726,8.868161996167045
2019-10-15 09:45:00-07:00,3.0534965552,10.953513029286798,8.788029280847422,13.118996777726174,7.999247305013303,6.177282343341714,9.821212266684892
2019-10-15 10:00:00-07:00,4.066330032333333,11.944037469579674,9.658968128101808,14.229106811057541,8.998313513590778,7.062915962775175,10.933711064406381
2019-10-15 10:15:00-07:00,4.655847391733333,13.037500421179441,10.618631712606659,15.456369129752224,9.880316266290892,7.842258606281014,11.91837392630077
2019-10-15 10:30:00-07:00,5.8199304344,13.940737235203715,11.410167660779347,16.471306809628082,10.5138872482875,8.400899206223642,12.626875290351357
2019-10-15 10:45:00-07:00,9.090814185533333,14.701223651163522,12.075900164939275,17.326547137387767,11.116180615378699,8.93117724212312,13.301183988634278
2019-10-15 11:00:00-07:00,11.122831657533332,15.416203390530372,12.701276869338214,18.131129911722528,11.77916176766891,9.514113094086927,14.044210441250893
2019-10-15 11:15:00-07:00,18.7795727,15.913203533594977,13.135723517246499,18.690683549943454,12.307937621926998,9.978531049794002,14.637344194059994
2019-10-15 11:30:00-07:00,19.31250647,16.42543642735571,13.583274008649935,19.26759884606148,12.640588479224755,10.27048168454541,15.0106952739041
2019-10-15 11:45:00-07:00,19.781427436666664,17.030790004751893,14.111929419806374,19.949650589697413,13.060201284448915,10.638537433569894,15.481865135327936
2019-10-15 12:00:00-07:00,20.14601376,17.408325334750984,14.441499437182518,20.37515123231945,17.465616403122635,14.491503319855155,20.439729486390114
2019-10-15 12:15:00-07:00,20.45724278533333,17.43688507643234,14.46642677153396,20.40734338133072,17.73892466837395,14.730018229564138,20.747831107183764
2019-10-15 12:30:00-07:00,20.702711532666665,17.688860160864042,14.686330783374036,20.69138953835405,18.033652739886286,14.98717256475549,21.08013291501708
2019-10-15 12:45:00-07:00,20.919583884666668,17.845067488075852,14.822635612645392,20.86749936350631,18.2923412960268,15.212837708700064,21.37184488335354
2019-10-15 13:00:00-07:00,20.95178803,17.874087010946198,14.847956028850305,20.90021799304209,18.429226152183894,15.332232003841987,21.5262203005258
2019-10-15 13:15:00-07:00,21.00384645733333,17.64995700830427,14.652381879042794,20.647532137565747,18.268276082055213,15.191846293870228,21.344705870240197
2019-10-15 13:30:00-07:00,20.90718762,17.505745638853046,14.526526986528324,20.484964291177768,17.96017104334145,14.923063855195117,20.997278231487783
2019-10-15 13:45:00-07:00,20.67206677733333,17.158149394102285,14.2231189243637,20.09317986384087,17.78505604766934,14.770272116584866,20.799839978753813
2019-10-15 14:00:00-07:00,20.363758586666663,16.856957731962112,13.96014893247179,19.753766531452435,17.56282180949506,14.576339632097273,20.549303986892845
2019-10-15 14:15:00-07:00,19.765575697333333,16.467646339553692,13.620144731031454,19.315147948075932,17.1843102774063,14.24595696021533,20.12266359459727
2019-10-15 14:30:00-07:00,19.22710913333333,15.817733967798377,13.05228610628388,18.583181829312874,16.649842965060582,13.779279661997442,19.520406268123722
2019-10-15 14:45:00-07:00,18.51884855533333,15.079265406820051,12.406623870397244,17.751906943242858,16.10346132277406,13.301980704207999,18.90494194134012
2019-10-15 15:00:00-07:00,17.786466330666666,14.30519378942467,11.729289395245598,16.881098183603743,15.46653776960773,12.745285691793871,18.187789847421588
2019-10-15 15:15:00-07:00,16.980145333333336,13.451365961541217,10.98143662915923,15.921295293923205,14.734109667293461,12.104675411764205,17.363543922822718
2019-10-15 15:30:00-07:00,16.011998245333334,12.654468540335877,10.282660118166428,15.026276962505326,13.916877756655461,11.389271037107783,16.44448447620314
2019-10-15 15:45:00-07:00,14.996526969333331,11.651395905093466,9.401831463809367,13.900960346377564,13.119784595270026,10.690781153968755,15.548788036571297
2019-10-15 16:00:00-07:00,13.805287309333332,10.615527210910264,8.490437014652429,12.740617407168099,11.575094717018315,9.334764496795996,13.815424937240634
2019-10-15 16:15:00-07:00,12.592619999333332,9.614797627270443,7.607861318426307,11.621733936114579,10.8689740949089,8.713614900558875,13.024333289258925
2019-10-15 16:30:00-07:00,11.242565306666668,8.517176654483285,6.636830430745533,10.397522878221036,10.158593833305828,8.08773671361532,12.229450952996336
2019-10-15 16:45:00-07:00,9.645366943,7.423877791460025,5.665531917508261,9.182223665411788,9.440552217760121,7.453941397472537,11.427163038047706
2019-10-15 17:00:00-07:00,8.038392220266667,6.360566324027415,4.715524429057163,8.005608218997667,8.427648427855289,6.5574624217952735,10.297834433915304
2019-10-15 17:15:00-07:00,6.361382806266666,5.289858376598001,3.7512738930277,6.828442860168303,7.559222547221384,5.786039704920849,9.332405389521918
2019-10-15 17:30:00-07:00,4.619325934266667,4.414573260291384,2.9545888501290203,5.874557670453747,6.609177176172284,4.938217540700226,8.280136811644342
2019-10-15 17:45:00-07:00,2.5731177408000003,3.400596855846474,2.0164823734068777,4.78471133828607,5.727655028084577,4.146671364212567,7.308638691956586
2019-10-15 18:00:00-07:00,0.8287109154666666,2.5934416080329514,1.249804255895358,3.937078960170545,4.77082663509246,3.2799919372479494,6.261661332936971
2019-10-15 18:15:00-07:00,0.0,1.8554134624598408,0.5191104519953624,3.1917164729243193,3.9034827395391694,2.4843154983245466,5.322649980753792
2019-10-15 18:30:00-07:00,0.0,1.1239012784244562,0.0,2.5168027476203614,3.157073374275985,1.7875845976275517,4.526562150924418
2019-10-15 18:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 19:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 19:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 19:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 19:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 20:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 20:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 20:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 20:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 21:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 21:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 21:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 21:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 22:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 22:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 22:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 22:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 23:00:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 23:15:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 23:30:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-15 23:45:00-07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
