timestamp,ghi,dni,dhi,temp_air,wind_speed,Power_Simulated,Power_Actual,Error,beta,cv
2019-01-01 12:35:00+00:00,0.0,0.0,0.0,3.3,3.0,0.0,0.0,0.0,0.0,0.0
2019-01-01 12:40:00+00:00,0.0,0.0,0.0,3.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0
2019-01-01 12:45:00+00:00,0.0,0.0,0.0,3.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0
2019-01-01 12:50:00+00:00,0.0,0.0,0.0,3.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0
2019-01-01 12:55:00+00:00,0.0,0.0,0.0,3.2,2.9000000000000004,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:00:00+00:00,0.0,0.0,0.0,3.1,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:05:00+00:00,0.0,0.0,0.0,3.1,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:10:00+00:00,0.0,0.0,0.0,3.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:15:00+00:00,0.0,0.0,0.0,3.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:20:00+00:00,0.0,0.0,0.0,3.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:25:00+00:00,0.0,0.0,0.0,3.0,2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:30:00+00:00,0.0,0.0,0.0,2.9000000000000004,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:35:00+00:00,0.0,0.0,0.0,2.9000000000000004,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:40:00+00:00,0.0,0.0,0.0,2.9000000000000004,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:45:00+00:00,0.0,0.0,0.0,2.9000000000000004,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:50:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 13:55:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:00:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:05:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:10:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:15:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:20:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:25:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:30:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:35:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:40:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:45:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:50:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.5,0.0,0.0,0.0,0.0,0.0
2019-01-01 14:55:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.5,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:00:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.5,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:05:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.5,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:10:00+00:00,0.0,0.0,0.0,3.2,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:15:00+00:00,0.0,0.0,0.0,3.2,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:20:00+00:00,0.0,0.0,0.0,3.6,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:25:00+00:00,0.0,0.0,0.0,3.6,2.6,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:30:00+00:00,0.0,0.0,0.0,4.0,2.7,0.0,0.0,0.0,0.0,0.0
2019-01-01 15:35:00+00:00,0.0,0.0,0.0,4.0,2.7,0.0,0.2041544468,-0.2041544468,0.0,0.0
2019-01-01 15:40:00+00:00,0.0,0.0,0.0,4.4,2.7,0.0,0.6056885706,-0.6056885706,0.0,0.0
2019-01-01 15:45:00+00:00,0.0,0.0,0.0,4.4,2.7,0.0,1.3024680004,-1.3024680004,0.0,0.0
2019-01-01 15:50:00+00:00,34.76669127344458,1.1618067503551535,26.847952662367213,4.800000000000001,2.8000000000000003,0.6457564521124249,2.11700644,-1.471249987887575,0.0,0.0
2019-01-01 15:55:00+00:00,50.739822221787435,1.5809894037453085,36.03590697899598,4.800000000000001,2.8000000000000003,1.0133913857082866,3.0317138642,-2.0183224784917138,0.0,0.0
2019-01-01 16:00:00+00:00,53.9488516325019,4.373677978134943,45.317169807036066,5.2,2.8000000000000003,1.3838733114646078,3.8010426930000003,-2.417169381535392,0.0,0.0
2019-01-01 16:05:00+00:00,69.59674855633376,5.296173898407924,54.4189863928601,5.2,2.8000000000000003,1.7231904167357937,4.411087677399999,-2.6878972606642066,0.0,0.0
2019-01-01 16:10:00+00:00,114.03884589739732,647.6145540828278,30.67234320303399,5.5,2.8000000000000003,9.89733400438254,5.0163917834000005,4.880942220982541,0.0,0.0
2019-01-01 16:15:00+00:00,137.2364183414956,736.245859631407,34.72917658129211,5.5,2.8000000000000003,11.435824942815987,5.6282977156000005,5.807527227215987,0.0,0.0
2019-01-01 16:20:00+00:00,140.46239871786355,690.4036923894965,33.29734923139889,5.800000000000001,2.8000000000000003,11.077574929417079,6.2602474958,4.81732743361708,0.0,0.0
2019-01-01 16:25:00+00:00,161.89461816022603,756.205393524151,36.43056013028093,5.800000000000001,2.8000000000000003,12.38289394218792,6.4085197768,5.974374165387919,0.0,0.0
2019-01-01 16:30:00+00:00,169.0613121433526,728.2376570469942,36.056552521126314,6.1000000000000005,2.8000000000000003,12.282106006743088,5.634972364,6.647133642743087,0.0,0.0
2019-01-01 16:35:00+00:00,189.31684075982838,779.0802637703162,38.6067618332299,6.1000000000000005,2.8000000000000003,13.402148871037127,6.312676292400001,7.089472578637126,0.0,0.0
2019-01-01 16:40:00+00:00,196.64555930163152,760.8894325692715,38.89123447440619,6.4,2.8000000000000003,13.446441647531838,6.3742792896,7.072162357931839,0.0,0.0
2019-01-01 16:45:00+00:00,215.75719445222734,801.2941382257528,41.044372686079576,6.4,2.8000000000000003,14.428952789406628,7.6305978912,6.798354898206627,0.0,0.0
2019-01-01 16:50:00+00:00,224.27031319561502,788.699987381505,40.752743305361626,6.7,2.8000000000000003,14.521068677460025,7.5440626248000004,6.977006052660025,0.0,0.0
2019-01-01 16:55:00+00:00,242.37694514092013,821.4860090772872,42.57378214774167,6.7,2.8000000000000003,15.39467778751145,8.595622175799999,6.7990556117114505,0.0,0.0
