,ghi,dni,dhi,temp_air,wind_speed,Sim_Power,Target_Power,Error,beta,cv,NWP_GHI,NWP_DNI,NWP_DHI,NWP_Temp,NWP_Wind,NWP_Humidity,NWP_Cloud,NWP_Precip
2019-01-01 14:15:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1603300480531773,1.2787053516972366,43.073826916567626,0.0,0.0
2019-01-01 14:30:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1717840211353772,1.4943326001448405,42.906284921986405,0.0,0.0
2019-01-01 14:45:00+00:00,0.0,0.0,0.0,2.8000000000000003,2.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3223459836498885,2.037793548520024,43.285600466412006,0.0,0.0
2019-01-01 15:00:00+00:00,0.0,0.0,0.0,2.9333333333333336,2.533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,2.7,44.0,0.0,0.0
2019-01-01 15:15:00+00:00,0.0,0.0,0.0,3.466666666666667,2.6,0.0,0.0,0.0,0.0,0.0,2.3356905082396073,18.517474911734276,0.9963553201704377,2.367086105029279,3.2913244311914798,44.82250736307653,2.0,0.0
2019-01-01 15:30:00+00:00,0.0,0.0,0.0,4.133333333333334,2.7000000000000006,0.0,0.2699476724666667,-0.2699476724666667,0.0,0.0,23.595745196662428,151.0188300771401,7.575261296686951,3.283368215342402,3.6999820124191696,45.46533595664965,4.0,0.0
2019-01-01 15:45:00+00:00,28.50217116507734,0.9142653847001542,20.961286547121066,4.666666666666667,2.766666666666667,0.5530492792735705,2.1503961015333335,-1.597346822259763,0.0,0.0,79.34309702837746,420.03360960181084,20.223733855281512,4.382966217984324,3.833648587437275,45.62549657189796,6.0,0.0
2019-01-01 16:00:00+00:00,79.19481536207766,219.0948019864569,43.46949980097671,5.3,2.8000000000000003,4.334799244194314,4.4095073846,-0.07470814040568581,0.0,0.0,173.99999835323524,781.1999979784227,36.99999903360513,5.6,3.6,45.0,8.0,0.0
2019-01-01 16:15:00+00:00,146.53114507319506,727.6183151816849,34.81902864765731,5.7,2.8000000000000003,11.632097938140328,6.099021662733333,5.533076275406995,0.0,0.0,229.70271374495317,883.3032911151373,43.677350624980335,6.857263031829708,2.9638094235368473,43.401768631126295,9.25,0.0
2019-01-01 16:30:00+00:00,185.00790406827085,756.0691177955273,37.85151627625414,6.2,2.8000000000000003,13.043565508437352,6.107309315333334,6.936256193104017,0.0,0.0,276.3049927464508,926.6224520928091,48.45959242223572,8.032243117495014,2.118239350178484,41.10737125141498,10.5,0.0
2019-01-01 16:45:00+00:00,227.4681509295875,803.826711561515,41.45696604639429,6.6000000000000005,2.8000000000000003,14.781566418126033,7.923427563933333,6.8581388541927,0.0,0.0,312.2593286673496,926.1286351907693,51.793280479449756,8.991101644412817,1.3135496017308803,38.50928824599618,11.75,0.0
2019-01-01 17:00:00+00:00,265.4927208617559,830.3967512546006,43.81532139619531,7.1000000000000005,2.7000000000000006,16.150590418526296,10.029245675533334,6.12134474299296,0.0,0.0,336.9999987824109,893.099998611023,53.99999916655259,9.6,0.8,36.0,13.0,0.0
2019-01-01 17:15:00+00:00,305.19112060706817,862.4265647341493,46.05190876231048,7.566666666666666,2.6333333333333333,17.586105530870526,11.705263120666666,5.8808424102038614,0.0,0.0,375.73663103651194,920.8264041451102,57.00298115479758,9.781986767651894,0.7815628746611376,33.89854311241835,11.75,0.0
2019-01-01 17:30:00+00:00,341.61524573894513,876.9009481204895,49.80505100428189,8.200000000000001,2.466666666666667,18.714651843046656,13.16406532,5.550586523046657,0.0,0.0,409.38205937087986,937.4547404687271,59.45235225354362,9.68765931467754,1.277060586866896,32.23017903769044,10.5,0.0
2019-01-01 17:45:00+00:00,376.45888762495946,888.7664564718352,55.41771874159539,8.666666666666666,2.3333333333333335,19.812080138764557,14.024219766666667,5.787860372097893,0.0,0.0,437.8132396280087,945.3316683322425,61.43122728642972,9.524502204364417,2.259028005639207,30.946725444117323,9.25,0.0
2019-01-01 18:00:00+00:00,406.3643100779106,900.8412805927882,56.960328151122155,9.200000000000001,2.1666666666666665,20.697629161029344,15.200870649999999,5.496758511029346,0.0,0.0,460.9999988919691,946.199998742116,62.99999920133542,9.5,3.7,30.0,8.0,0.0
