Time,Actual_Power,Pred_24h,Lower_24h,Upper_24h,Sigma_24h,Pred_4h,Lower_4h,Upper_4h,Sigma_4h
2019-10-22 00:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 00:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 00:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 00:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 01:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 01:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 01:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 01:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 02:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 02:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 02:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 02:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 03:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 03:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 03:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 03:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 04:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 04:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 04:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 04:45:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 05:00:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 05:15:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 05:30:00-08:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-22 05:45:00-08:00,0.0,0.11939653157316209,0.04254194061262356,0.1962511225337006,0.039211526000274756,0.01952866688652619,0.006958220443960113,0.032099113329092266,0.006413493082941876
2019-10-22 06:00:00-08:00,0.0,0.2649948625487612,0.09441979223903832,0.4355699328584841,0.08702809709679739,0.21302781953234767,0.07590351853586774,0.3501521205288276,0.06996137805942854
2019-10-22 06:15:00-08:00,0.0,0.624617851081723,0.22255634377469768,1.0266793583887481,0.20513342209542107,0.4690484922118164,0.16712573503769212,0.7709712493859406,0.1540422230480226
2019-10-22 06:30:00-08:00,0.0,0.9394904599098219,0.33474797655339916,1.5442329432662447,0.3085420833451137,0.8114523742226756,0.2891269809877208,1.3337777674576303,0.2664925475688545
2019-10-22 06:45:00-08:00,0.0,1.2463103608676438,0.44407036501256836,2.0485503567227195,0.40930612033422215,1.3856933471852804,0.4937336395499994,2.2776530548205614,0.45508148348738825
2019-10-22 07:00:00-08:00,0.0,1.7259045215882494,0.7608136857724151,2.6909953574040837,0.49239328357950723,1.8508403320671953,0.886694231923093,2.8149864322112976,0.49191127558372566
2019-10-22 07:15:00-08:00,0.0,2.5055585367396973,1.5371524664211673,3.4739646070582273,0.4940847297543521,2.5923662347121414,1.62252714252047,3.562205326903813,0.49481586336309774
2019-10-22 07:30:00-08:00,0.0,3.300792715763988,2.3142310302103937,4.287354401317582,0.5033477987518339,3.43430241268222,2.443789097910586,4.424815727453854,0.5053639361079766
2019-10-22 07:45:00-08:00,0.5660831021833334,4.179523408245308,3.1636397579303885,5.195407058560228,0.5183079848545508,4.211491878453607,3.1944142962346715,5.228569460672543,0.5189171337851713
2019-10-22 08:00:00-08:00,1.7702037074,4.856945568891782,3.8143113054047832,5.899579832378781,0.5319562568811219,4.816010953579129,3.7750716737163774,5.85695023344188,0.5310914693177303
2019-10-22 08:15:00-08:00,3.1531661305000003,6.077446389022058,4.980732571559116,7.174160206485,0.5595478660525214,5.909946236419513,4.821004760865683,6.998887711973343,0.5555823854866481
2019-10-22 08:30:00-08:00,4.6679827291,6.958236133997587,5.819232312308715,8.097239955686458,0.5811243988208525,7.144654722424761,5.996433272300129,8.292876172549393,0.5858272704717511
