P_fit,I_F_fit
0.01,3.064152048111091
0.02,1.3122441757973802
0.03,0.8124403328491462
0.04,0.5852450069587019
0.05,0.45808222956070166
0.060000000000000005,0.3778385650172856
0.06999999999999999,0.3230700216034942
0.08,0.28355802909604
0.09,0.25385051910047174
0.09999999999999999,0.23078856847738854
0.11,0.21242292249906797
0.12,0.19748939884092326
0.13,0.18513435489337202
0.14,0.17476178503795176
0.15000000000000002,0.1659436944503193
0.16,0.1583652688934456
0.17,0.15179009116588638
0.18000000000000002,0.14603737459240468
0.19,0.14096665135324177
0.2,0.13646722584215243
0.21000000000000002,0.13245075501875425
0.22,0.12884592932740424
0.23,0.1255945944531864
0.24000000000000002,0.1226488801224333
0.25,0.11996904481043996
0.26,0.11752183730084215
0.27,0.11527923668056358
0.28,0.1132174730230262
0.29000000000000004,0.11131625874685544
0.3,0.10955817984370712
0.31,0.10792820965899082
0.32,0.10641331750932152
0.33,0.10500215133576346
0.34,0.10368477862982606
0.35000000000000003,0.1024524735782969
0.36000000000000004,0.10129754113088024
0.37,0.10021317076424877
0.38,0.09919331428280184
0.39,0.09823258319210765
0.4,0.09732616210059637
0.41000000000000003,0.09646973531748064
0.42000000000000004,0.09565942437059294
0.43,0.09489173460414543
0.44,0.09416350936111322
0.45,0.09347189052885888
0.46,0.09281428444550686
0.47000000000000003,0.09218833234042735
0.48000000000000004,0.09159188462418212
0.49,0.09102297845849405
0.5,0.09047981813071367
0.51,0.08996075783414609
0.52,0.08946428651882374
0.53,0.08898901452950307
0.54,0.08853366179092272
0.55,0.08809704733634566
0.56,0.08767808000545366
0.5700000000000001,0.08727575016283244
0.5800000000000001,0.08688912230944482
0.59,0.08651732847732999
0.6,0.08615956231286026
0.61,0.08581507376668956
0.62,0.08548316431942263
0.63,0.08516318268132826
0.64,0.08485452091237217
0.65,0.08455661091566413
0.66,0.08426892126327928
0.67,0.0839909543184675
0.68,0.08372224362263235
0.6900000000000001,0.08346235151924229
0.7000000000000001,0.083210866990119
0.7100000000000001,0.08296740368240166
0.72,0.082731598106974
0.73,0.08250310799131266
0.74,0.08228161077161644
0.75,0.08206680221074207
0.76,0.08185839512993577
0.77,0.08165611824363696
0.78,0.08145971508776569
0.79,0.08126894303290713
0.8,0.08108357237469238
0.81,0.08090338549445968
0.8200000000000001,0.08072817608397645
0.8300000000000001,0.08055774842862123
0.8400000000000001,0.08039191674397461
0.85,0.08023050456125956
0.86,0.08007334415750851
0.87,0.07992027602672631
0.88,0.0797711483886679
0.89,0.07962581673216333
0.9,0.07948414339020413
0.91,0.0793459971442578
0.92,0.0792112528555045
0.93,0.07907979112089479
0.9400000000000001,0.07895149795211187
0.9500000000000001,0.07882626447568825
0.9600000000000001,0.0787039866526773
0.97,0.07858456501641664
0.98,0.07846790442704281
0.99,0.07835391384152948
1.0,0.07824250609812212
