P_phys_pu,I_F
0.048902633336414696,0.32408227169069237
0.10207499948900646,0.25650491106297274
0.16151007219108618,0.12509423839225425
0.22249904477011484,0.038295068208646005
0.28233819548113726,0.06051825762378767
0.33949041935680296,0.06262717928229423
0.3930059669578094,0.07494530777525008
0.4421700631029,0.032128836961559284
0.4868205429871443,0.02482021917277621
0.5269356695978036,0.02018144085364086
0.562650787683937,0.032549676986565565
0.5938787357329938,0.02243498417930683
0.6142048799146907,0.029958486074293595
0.5107441456055947,0.02699683371033596
0.4662339365790139,0.05700023498237774
0.2982218823805055,0.0850465244440844
0.22940960205862754,0.26759997323762774
0.15436245773362128,0.25034639476535053
0.0791249546676807,0.04244007066245844
0.018893596199942873,0.34110163684563566
0.04719658104336173,0.21533122903518045
0.09936533824003142,0.2017179068477701
0.15781880371559506,0.1089289253117402
0.21774684261702132,0.09200503531598178
0.27653281414499076,0.07472387144736913
0.3327838573595664,0.05247735123690686
0.3853912904053514,0.04402944860819966
0.4335824994886572,0.03538952597654953
0.4775093773851782,0.028779824224809916
0.5170037173576477,0.023357653608152586
0.5069779559776643,0.021040382408490984
0.4630346739357014,0.026495541035255577
0.41409301326690773,0.03387658808311326
0.3592445556738744,0.04567384386214017
0.29808889323748117,0.05824166194055892
0.2303550965900328,0.08850705932301561
0.15629465376818905,0.1678430233863443
0.08167188078289465,0.40985742087791277
0.020785539372765147,1.557536938855141
0.04683104244818974,0.14607316767537115
0.09902581770907583,0.22033785861300922
0.1576546949196838,0.08688028607073518
0.2179186920644369,0.08722018372138547
0.27711666307238475,0.07214689542171869
0.33372140325506666,0.058523510269281126
0.3867826577676622,0.043822885044361805
0.4357053491166447,0.03509567682618024
0.5201360945713851,0.028399585139062412
0.5558327779265191,0.023512435474449714
0.5873771448271022,0.020516144483766784
0.6146032861864429,0.03592485251037182
0.6375784364925414,0.03602851384361997
0.693916130799381,0.02177585968753393
0.6898262401304088,0.021936473519727304
0.6816186358852128,0.07561770985607218
0.6536886046350566,0.0374040974393292
0.6093228245144543,0.10125698958644758
0.5097567400532019,0.214558667976531
0.4665559380757724,0.04107105270678593
0.4178210494567288,0.0279749576554628
0.36306986949414294,0.14108259677994944
0.23428266598709777,0.04716078895297497
0.1602278811036352,0.2327917219541252
0.08533115705595325,0.3987553004657034
0.02310768165513549,0.22559771503103457
0.04577254046950429,0.3177114926035787
0.09736905935027089,0.08427730915293401
0.1554042796634305,0.047808522152251814
0.21509888089629067,0.023298313062906032
0.273685285727703,0.0894141714745071
0.32981256669456166,0.0806757573731336
0.38243867448155094,0.21141568897311439
0.43125711969019204,0.02709284285063075
0.47561777297994084,0.023539451741829965
0.5159585953043059,0.029716462649415333
0.6550727858932474,0.0566868301769039
0.6825291098162604,0.0290887227825197
0.6947560687379479,0.020311402631462246
0.6908142007847461,0.03514015557409799
0.5102138098852923,0.0228843514554852
0.46673362183810646,0.026793795417045373
0.41807207581682276,0.037246319825172604
0.3639184634838059,0.04011943168903897
0.30339871153978254,0.053892599547100045
0.23635500351753191,0.07452140641446457
0.16293498128205688,0.15920698359501545
0.08829495494996846,0.4394768797230871
0.02531345309953571,0.8396953984428385
0.330252765350827,0.06638837585925748
0.384711734076006,0.046558403387434284
0.4354629398644432,0.035502879885241895
0.48215078129789873,0.1298979337003188
0.5249582630811085,0.06364364646010866
0.5635785769039091,0.18027812306966862
0.598192923111402,0.05137277082753543
0.6283272278422303,0.049926339234051806
0.654149546510841,0.025255912961898972
0.6757678269710545,0.07049554892322103
0.7057766122963309,0.03215044889791501
0.6779986472443187,0.03269161331938103
0.6569160299539345,0.042725975107487935
0.6005030890468783,0.027082142192912082
0.5652281088290331,0.05346036353663104
0.5251482191545549,0.022491097430499617
0.4798784550055516,0.0764980414230255
