P_cs_bin,sigma_bin
1.759,0.8859545033850531
2.2775,0.91298740045156
2.7960000000000003,1.0909022796918695
3.314,1.1160438987480858
3.8324999999999996,1.119816322104897
4.351,1.1408410018612538
4.869,1.2948218616067775
5.3875,1.3543804332890188
5.906000000000001,1.4856046671248664
6.4239999999999995,1.570909019637881
6.9425,1.7877983176048484
7.461,1.7286714655317366
7.978999999999999,1.802301833149046
8.497499999999999,1.8669961506808443
9.016,2.019862599564066
9.533999999999999,1.980038938424741
10.052499999999998,2.067938544733935
10.571,2.1746739670440087
11.089,2.3340958779770586
11.607500000000002,2.5293209246450346
12.126000000000001,2.7683836628190464
12.644,2.801164452197335
13.162500000000001,2.920077484050975
13.681000000000001,3.1784494890287656
14.199,3.2385253825986013
14.717500000000001,3.4653329096405368
15.236,3.9481721902504328
15.754000000000001,3.713639189654974
16.2725,3.794068289553369
16.791,3.818638674270747
17.309,3.852696544058575
17.8275,3.9328571712659874
18.346,3.9762382958417257
18.864,4.479204592297022
19.3825,4.200655679298686
19.901,4.437073593089378
20.419,4.086474644994627
20.9375,4.264759023344867
21.456,4.131665522982843
21.9745,4.618225756218299
22.493000000000002,5.047321533274812
23.011,5.31644917036499
23.5295,5.5854092009947385
24.048000000000002,6.236657832581765
24.566,6.985464243524407
25.0845,7.369409635886295
25.603,8.253704111923886
26.121,8.520231675015813
26.639499999999998,8.818106134095066
