time,temperature_2m (°C),cloud_cover (%),relative_humidity_2m (%),surface_pressure (hPa),wind_speed_10m (km/h),shortwave_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²)
2019-01-01T00:00,4.7,0,47,1014.3,11.4,0,0,0
2019-01-01T01:00,3.4,0,52,1014.4,12.6,0,0,0
2019-01-01T02:00,3.4,0,50,1015.2,15.1,0,0,0
2019-01-01T03:00,2.5,0,53,1016.2,11.9,0,0,0
2019-01-01T04:00,2.5,0,51,1016.7,11.7,0,0,0
2019-01-01T05:00,2,0,52,1017.1,9.8,0,0,0
2019-01-01T06:00,1.4,0,52,1017.8,7,0,0,0
2019-01-01T07:00,1.2,0,44,1018.7,1.6,0,0,0
2019-01-01T08:00,1.8,0,44,1019.5,2.7,32,12,239.4
2019-01-01T09:00,5.6,8,45,1020,3.6,174,37,781.2
2019-01-01T10:00,9.7,13,36,1020.2,0.8,337,54,893.1
2019-01-01T11:00,9.6,8,30,1019.8,3.7,461,63,946.2
2019-01-01T12:00,11.1,81,28,1020,10.2,530,71,957.1
2019-01-01T13:00,10.6,1,26,1019.3,8.4,536,92,906.7
2019-01-01T14:00,11,0,26,1018.5,6.2,453,187,590.7
2019-01-01T15:00,11.5,0,25,1018.4,6.2,355,113,664.6
2019-01-01T16:00,11.8,0,23,1018.4,3.4,209,60,628.7
2019-01-01T17:00,9.5,0,27,1018.3,1.9,0,0,0
2019-01-01T18:00,7.3,0,43,1018.8,5.4,0,0,0
2019-01-01T19:00,6.6,0,46,1019.1,8.7,0,0,0
2019-01-01T20:00,5.5,0,46,1019.2,7.7,0,0,0
2019-01-01T21:00,4.2,0,46,1019.2,5.1,0,0,0
2019-01-01T22:00,3.3,0,50,1019.2,2.2,0,0,0
2019-01-01T23:00,2.8,0,53,1019.1,2.6,0,0,0
2019-01-02T00:00,2.2,0,52,1019.3,2,0,0,0
2019-01-02T01:00,1.8,0,54,1019.5,2.9,0,0,0
2019-01-02T02:00,1.4,0,59,1019.6,3.6,0,0,0
2019-01-02T03:00,0.9,0,66,1019.5,6.4,0,0,0
2019-01-02T04:00,0.5,0,67,1019,5.2,0,0,0
2019-01-02T05:00,0.4,0,64,1018.5,0.5,0,0,0
2019-01-02T06:00,-0.1,0,73,1018.5,4.7,0,0,0
2019-01-02T07:00,-0.3,0,77,1018.9,5.5,0,0,0
2019-01-02T08:00,0.2,0,81,1019.7,3.5,27,19,95.9
2019-01-02T09:00,3.6,0,82,1020.3,3.4,164,49,655.9
2019-01-02T10:00,7.4,0,65,1020.7,3.4,324,58,838.7
2019-01-02T11:00,9.5,0,54,1020.4,2.4,445,68,894.9
2019-01-02T12:00,10.8,0,45,1019.6,1.6,512,75,909.2
2019-01-02T13:00,11.3,0,40,1018.7,4.5,522,77,906
2019-01-02T14:00,12.2,0,35,1018.2,5.4,471,77,871.4
2019-01-02T15:00,13,0,34,1018.1,5.1,360,71,789.1
2019-01-02T16:00,13,0,34,1018.2,6.6,202,63,580.9
2019-01-02T17:00,10.6,0,39,1018.5,7.3,0,0,0
2019-01-02T18:00,8.5,0,50,1019.1,6.6,0,0,0
2019-01-02T19:00,7.4,0,50,1019.1,7.6,0,0,0
2019-01-02T20:00,6.5,0,54,1019.4,8.9,0,0,0
2019-01-02T21:00,5.4,0,56,1019.7,7.6,0,0,0
2019-01-02T22:00,4.7,0,58,1020,7.6,0,0,0
2019-01-02T23:00,3.8,0,61,1020.2,6.9,0,0,0
2019-01-03T00:00,3.2,0,66,1020.1,4.3,0,0,0
2019-01-03T01:00,2.4,0,69,1019.8,2.4,0,0,0
2019-01-03T02:00,1.9,0,71,1019.8,3.3,0,0,0
2019-01-03T03:00,1.3,0,76,1019.6,3.3,0,0,0
2019-01-03T04:00,1,0,76,1019.3,3.3,0,0,0
2019-01-03T05:00,0.5,0,77,1018.7,1.6,0,0,0
2019-01-03T06:00,0,0,84,1019,5.5,0,0,0
2019-01-03T07:00,0,0,81,1019.1,0,0,0,0
2019-01-03T08:00,0.5,0,86,1019.3,3.4,29,17,143.9
2019-01-03T09:00,3.8,0,84,1020.1,2.8,159,67,524.6
2019-01-03T10:00,7.2,0,69,1020,3.5,320,79,758.9
2019-01-03T11:00,9,4,55,1019.7,2.5,446,73,883.7
2019-01-03T12:00,10.1,0,51,1018.6,4.8,514,77,906.9
2019-01-03T13:00,10.9,0,48,1017.4,2.7,491,242,505.3
2019-01-03T14:00,11.8,3,48,1016.6,6.9,465,143,709.1
2019-01-03T15:00,12.7,0,48,1016.3,9,352,148,553.7
2019-01-03T16:00,12.1,0,49,1016.1,8,193,121,297.9
2019-01-03T17:00,10.2,0,55,1015.8,5.6,0,0,0
2019-01-03T18:00,8.5,0,63,1015.7,8.6,0,0,0
2019-01-03T19:00,7.3,0,69,1015.7,9.2,0,0,0
2019-01-03T20:00,6.1,0,71,1015.6,6.1,0,0,0
2019-01-03T21:00,5.2,0,78,1015.3,4.8,0,0,0
2019-01-03T22:00,4.4,0,80,1015.5,4.8,0,0,0
2019-01-03T23:00,3.6,0,83,1015.3,3.9,0,0,0
2019-01-04T00:00,3,0,84,1015,2.5,0,0,0
2019-01-04T01:00,2.6,0,84,1014.7,5.4,0,0,0
2019-01-04T02:00,1.9,0,90,1014.3,6.8,0,0,0
2019-01-04T03:00,1.5,0,85,1013.9,7.3,0,0,0
2019-01-04T04:00,1.2,0,84,1013,5.8,0,0,0
2019-01-04T05:00,0.8,0,84,1012.2,6.3,0,0,0
2019-01-04T06:00,0.7,0,89,1011.6,9.4,0,0,0
2019-01-04T07:00,0.1,0,87,1011.7,6.3,0,0,0
2019-01-04T08:00,0.7,0,87,1012,2.6,28,19,108
2019-01-04T09:00,3.8,0,86,1012.4,2.5,155,90,370.4
2019-01-04T10:00,7,0,77,1012.7,2.2,315,112,638.3
2019-01-04T11:00,9,0,68,1012.4,3.2,421,173,586.3
2019-01-04T12:00,11.1,0,62,1011.2,5.6,506,138,761.7
2019-01-04T13:00,12.3,0,58,1010.5,3.9,513,132,770.5
2019-01-04T14:00,13.7,0,53,1010.1,2.6,461,136,712.5
2019-01-04T15:00,14.3,0,51,1009.7,2.9,339,136,547.5
2019-01-04T16:00,14,0,54,1009,4.7,195,100,389
2019-01-04T17:00,11.9,0,57,1008.6,5.1,0,0,0
2019-01-04T18:00,9.4,0,64,1008.2,0.5,0,0,0
2019-01-04T19:00,8.2,0,69,1008.2,5,0,0,0
2019-01-04T20:00,7.1,16,77,1008.2,6.4,0,0,0
2019-01-04T21:00,6.5,16,83,1007.8,7.4,0,0,0
2019-01-04T22:00,6.3,18,85,1007.5,7.8,0,0,0
2019-01-04T23:00,5.9,22,86,1006.8,6.8,0,0,0
2019-01-05T00:00,5.8,16,88,1006,7.9,0,0,0
2019-01-05T01:00,5.9,33,87,1005.5,8.5,0,0,0
2019-01-05T02:00,6.2,54,83,1005.3,10.2,0,0,0
2019-01-05T03:00,6.5,66,80,1004.4,12.6,0,0,0
2019-01-05T04:00,6.7,100,80,1003.9,9.4,0,0,0
2019-01-05T05:00,7,87,79,1003.2,10.2,0,0,0
2019-01-05T06:00,6.5,54,79,1002.5,11,0,0,0
2019-01-05T07:00,6.6,61,82,1002.2,13,0,0,0
2019-01-05T08:00,8.2,42,79,1002.1,10,12,12,0
2019-01-05T09:00,9.4,22,79,1002.1,15.3,14,14,0
2019-01-05T10:00,11.8,68,74,1002.1,29.6,304,83,693.5
2019-01-05T11:00,13.5,42,72,1001.8,21.9,364,178,438.7
2019-01-05T12:00,13.8,72,73,1001.2,24.9,497,143,730.5
2019-01-05T13:00,13.7,77,76,1001.2,21.6,437,256,364.7
2019-01-05T14:00,13.1,72,80,1001.6,18.4,393,192,438.6
2019-01-05T15:00,12.2,79,82,1002.3,8.9,55,55,0
2019-01-05T16:00,12.2,83,79,1003.5,4.2,196,62,542.9
2019-01-05T17:00,11.6,91,77,1004.7,3.1,0,0,0
2019-01-05T18:00,11.1,76,79,1005.7,3.1,0,0,0
2019-01-05T19:00,10.4,66,83,1006.6,3.6,0,0,0
2019-01-05T20:00,9.6,64,81,1007.5,7.3,0,0,0
2019-01-05T21:00,9.1,21,86,1008.4,7.6,0,0,0
2019-01-05T22:00,9,29,84,1009,3.2,0,0,0
2019-01-05T23:00,8,19,86,1009.2,5.6,0,0,0
2019-01-06T00:00,7.3,10,89,1009.3,4.2,0,0,0
2019-01-06T01:00,6.9,24,88,1009.7,5.1,0,0,0
2019-01-06T02:00,6.5,4,90,1009.8,9,0,0,0
2019-01-06T03:00,6.3,16,91,1009.8,9.5,0,0,0
2019-01-06T04:00,5.9,17,92,1009.7,6.6,0,0,0
2019-01-06T05:00,6,19,94,1009.5,7.1,0,0,0
2019-01-06T06:00,6.3,18,92,1009.5,10,0,0,0
2019-01-06T07:00,6.7,32,90,1009.7,10.5,0,0,0
2019-01-06T08:00,7.7,40,88,1009.7,10.8,21,21,0
2019-01-06T09:00,9.3,69,84,1009.9,15.3,104,104,0
2019-01-06T10:00,9.8,100,86,1010,15.9,35,35,0
2019-01-06T11:00,9.9,74,89,1009.3,12.3,43,43,0
2019-01-06T12:00,10.1,100,89,1008.4,12,104,104,0
2019-01-06T13:00,10.7,62,85,1006.8,19.7,75,75,0
2019-01-06T14:00,10.9,77,84,1005.7,20.2,169,169,0
2019-01-06T15:00,10.5,84,86,1004.4,26.5,183,183,0
2019-01-06T16:00,10.2,79,91,1003.8,14.3,39,39,0
2019-01-06T17:00,10.5,100,88,1003,16.3,0,0,0
2019-01-06T18:00,12,99,89,1003.2,11.9,0,0,0
2019-01-06T19:00,11.7,96,95,1003.7,8,0,0,0
2019-01-06T20:00,13.2,97,90,1004.5,16.6,0,0,0
2019-01-06T21:00,13.8,93,87,1005.4,22.8,0,0,0
2019-01-06T22:00,13,86,90,1006.6,17.1,0,0,0
2019-01-06T23:00,12.7,17,87,1008.1,8.2,0,0,0
2019-01-07T00:00,11.9,37,85,1009.7,10.4,0,0,0
2019-01-07T01:00,10.9,74,86,1011.5,10.4,0,0,0
2019-01-07T02:00,10.6,67,85,1012.9,1.8,0,0,0
2019-01-07T03:00,10.2,69,86,1013.8,1.8,0,0,0
2019-01-07T04:00,10,57,90,1014,1.5,0,0,0
2019-01-07T05:00,9.5,48,89,1014.4,2.5,0,0,0
2019-01-07T06:00,9.3,53,89,1015.6,4.3,0,0,0
2019-01-07T07:00,9.4,8,93,1016.1,6.6,0,0,0
2019-01-07T08:00,9.3,6,93,1016.1,7.2,25,22,35.9
2019-01-07T09:00,10.1,0,92,1016.7,3.2,161,50,628.8
2019-01-07T10:00,11.7,73,86,1017.6,4.1,304,120,574.6
2019-01-07T11:00,13.1,0,83,1017.5,6.8,407,196,494.9
2019-01-07T12:00,14.1,0,76,1016.8,6.6,429,291,282.9
2019-01-07T13:00,15,0,70,1015.9,8,507,124,765.6
2019-01-07T14:00,15.6,0,64,1016.2,5.4,448,194,548.7
2019-01-07T15:00,16.2,6,61,1016.4,7.3,288,243,118.9
2019-01-07T16:00,15.4,12,67,1016.3,7.3,175,136,154.6
2019-01-07T17:00,13.8,3,74,1016.5,2.5,24,24,0
2019-01-07T18:00,12.4,16,79,1016.4,1.4,0,0,0
2019-01-07T19:00,11.8,52,82,1016.4,1.1,0,0,0
2019-01-07T20:00,11.4,2,82,1016.2,5.5,0,0,0
2019-01-07T21:00,11.1,30,83,1015.9,1.8,0,0,0
2019-01-07T22:00,10.9,98,81,1015.8,6.4,0,0,0
2019-01-07T23:00,10.1,44,85,1015.6,1.8,0,0,0
2019-01-08T00:00,9.6,17,86,1015.1,3.3,0,0,0
2019-01-08T01:00,9.1,16,88,1014.3,6.5,0,0,0
2019-01-08T02:00,8.6,19,91,1014.3,2.5,0,0,0
2019-01-08T03:00,8.3,52,91,1014.1,3.3,0,0,0
2019-01-08T04:00,8.5,56,91,1013.2,3.1,0,0,0
2019-01-08T05:00,8.6,36,90,1012.7,3.1,0,0,0
2019-01-08T06:00,8.3,51,90,1012.9,5.4,0,0,0
2019-01-08T07:00,8.8,49,90,1012.9,5.3,0,0,0
2019-01-08T08:00,9.5,70,88,1012.9,6,15,15,0
2019-01-08T09:00,11.1,82,88,1013.4,8.5,36,36,0
2019-01-08T10:00,12.3,92,87,1014,6.8,106,106,0
2019-01-08T11:00,14.7,87,78,1013.8,12.6,234,234,0
2019-01-08T12:00,13.7,100,80,1012.7,10.5,54,54,0
2019-01-08T13:00,12.9,100,87,1011.4,3.7,38,38,0
2019-01-08T14:00,13.6,57,84,1010.3,7.1,53,53,0
2019-01-08T15:00,14.7,66,74,1010.3,10.1,39,39,0
2019-01-08T16:00,14,66,76,1009.9,7.9,21,21,0
2019-01-08T17:00,14.5,56,68,1009.6,15.8,25,25,0
2019-01-08T18:00,13.8,42,70,1009.7,16.2,0,0,0
2019-01-08T19:00,13.1,54,77,1009.5,12.3,0,0,0
2019-01-08T20:00,13.2,23,76,1009.6,12.1,0,0,0
2019-01-08T21:00,13.6,64,73,1009,18.4,0,0,0
2019-01-08T22:00,13.2,33,77,1009.2,17.2,0,0,0
2019-01-08T23:00,13.5,85,73,1009.2,17.4,0,0,0
2019-01-09T00:00,13.1,59,76,1009.3,15.2,0,0,0
2019-01-09T01:00,12.7,81,83,1009.7,11.2,0,0,0
2019-01-09T02:00,12.7,88,85,1010.6,14.3,0,0,0
2019-01-09T03:00,12.8,94,86,1011.2,11.6,0,0,0
2019-01-09T04:00,12.7,90,87,1011.4,13,0,0,0
2019-01-09T05:00,12.8,87,86,1011.6,13.7,0,0,0
2019-01-09T06:00,12.9,84,83,1012.2,9.7,0,0,0
2019-01-09T07:00,12.5,35,83,1012.7,8.3,0,0,0
2019-01-09T08:00,12.3,29,85,1013.6,9.6,25,25,0
2019-01-09T09:00,13.8,35,83,1014.4,14.2,153,104,275.7
2019-01-09T10:00,14.7,34,82,1015,12.2,295,153,440.7
2019-01-09T11:00,15.6,31,76,1015.2,11.6,396,256,326.2
2019-01-09T12:00,16,52,74,1014.7,12.7,251,251,0
2019-01-09T13:00,16.5,74,70,1014.4,13.3,458,238,436
2019-01-09T14:00,16.5,49,66,1014.2,13.9,434,202,495.8
2019-01-09T15:00,15.5,31,69,1014.4,9.5,364,125,622.6
2019-01-09T16:00,14.9,65,73,1014.7,5.5,216,68,573.4
2019-01-09T17:00,13.9,66,77,1015.1,1.9,38,29,69.8
2019-01-09T18:00,12.7,28,81,1015.8,5.5,0,0,0
2019-01-09T19:00,11.9,22,82,1016.2,4.4,0,0,0
2019-01-09T20:00,11.1,16,85,1016.5,6.8,0,0,0
2019-01-09T21:00,10.7,16,82,1017.2,4.9,0,0,0
2019-01-09T22:00,10,16,84,1017.9,7.1,0,0,0
2019-01-09T23:00,9.6,16,87,1017.7,5.1,0,0,0
2019-01-10T00:00,9,16,91,1017.4,5.1,0,0,0
2019-01-10T01:00,8.4,9,90,1017.1,4.8,0,0,0
2019-01-10T02:00,8,16,88,1017.6,0.8,0,0,0
2019-01-10T03:00,7.7,14,89,1018.1,3.6,0,0,0
2019-01-10T04:00,7.2,20,92,1017.7,4.7,0,0,0
2019-01-10T05:00,6.7,34,92,1017.6,3,0,0,0
2019-01-10T06:00,6.2,44,94,1017.2,6.9,0,0,0
2019-01-10T07:00,7.4,49,97,1017.1,4.2,0,0,0
2019-01-10T08:00,7.9,72,94,1017.6,1.8,16,16,0
2019-01-10T09:00,9.5,44,94,1018.1,3.6,66,66,0
2019-01-10T10:00,10.5,35,94,1018.4,4.5,235,207,86.6
2019-01-10T11:00,11.3,28,94,1017.9,3.4,396,194,469
2019-01-10T12:00,12.9,44,86,1016.8,4.5,426,281,293.9
2019-01-10T13:00,14.1,27,84,1015.8,8.3,420,402,35.5
2019-01-10T14:00,14.7,15,81,1015.3,13.3,388,259,274.1
2019-01-10T15:00,14.6,16,80,1015.5,10.4,343,156,483.5
2019-01-10T16:00,14.3,16,78,1015.3,9.7,160,113,180
2019-01-10T17:00,12.6,16,81,1014.9,8.5,41,34,53.6
2019-01-10T18:00,10.7,16,89,1014.9,6.4,0,0,0
2019-01-10T19:00,9.8,22,88,1014.2,6.5,0,0,0
2019-01-10T20:00,9.3,22,85,1013.7,8.3,0,0,0
2019-01-10T21:00,8.5,22,84,1013.5,1.4,0,0,0
2019-01-10T22:00,8.2,19,85,1013.6,1.6,0,0,0
2019-01-10T23:00,7.8,21,86,1013,2.9,0,0,0
2019-01-11T00:00,7.2,22,90,1011.7,4.9,0,0,0
2019-01-11T01:00,6.7,38,89,1012.1,4.5,0,0,0
2019-01-11T02:00,6.5,21,91,1012.4,0.5,0,0,0
2019-01-11T03:00,6,28,91,1012.2,3.6,0,0,0
2019-01-11T04:00,5.6,16,91,1011.1,2.1,0,0,0
2019-01-11T05:00,5.5,60,90,1010.3,3.3,0,0,0
2019-01-11T06:00,5.4,52,90,1010,5.4,0,0,0
2019-01-11T07:00,5.6,56,89,1009.7,4,0,0,0
2019-01-11T08:00,6.7,12,92,1009.5,3.1,25,21,47.2
2019-01-11T09:00,9.4,10,88,1010.1,7.9,157,81,423.8
2019-01-11T10:00,12.6,16,72,1010.3,7.9,266,128,425.2
2019-01-11T11:00,14.5,28,60,1010.1,12,220,220,0
2019-01-11T12:00,15.9,22,56,1008.8,16.8,513,84,866
2019-01-11T13:00,16.2,19,56,1008,12.7,520,130,765.7
2019-01-11T14:00,15.9,47,63,1007.4,8.2,451,235,456.4
2019-01-11T15:00,15.4,29,66,1007.6,5.4,352,148,523.5
2019-01-11T16:00,14.7,62,74,1007.9,5.2,135,135,0
2019-01-11T17:00,13.1,54,78,1007.8,3.1,2,2,0
2019-01-11T18:00,12.4,61,87,1007.5,5.9,0,0,0
2019-01-11T19:00,11.6,31,86,1007.3,6.5,0,0,0
2019-01-11T20:00,11.7,19,85,1007.5,10,0,0,0
2019-01-11T21:00,11.8,18,89,1008,13.1,0,0,0
2019-01-11T22:00,11.2,86,91,1008,7.7,0,0,0
2019-01-11T23:00,10.5,20,91,1007.8,5,0,0,0
2019-01-12T00:00,10,19,92,1008.1,5.6,0,0,0
2019-01-12T01:00,9.4,4,91,1008.5,5.4,0,0,0
2019-01-12T02:00,9.1,8,91,1008.9,4,0,0,0
2019-01-12T03:00,9.2,20,92,1009.3,0.8,0,0,0
2019-01-12T04:00,9.5,65,92,1009.2,1.5,0,0,0
2019-01-12T05:00,8.9,71,88,1009.2,0.7,0,0,0
2019-01-12T06:00,8.3,75,87,1009.8,4,0,0,0
2019-01-12T07:00,8,15,85,1010.4,6.2,0,0,0
2019-01-12T08:00,8,10,87,1010.7,3.2,30,14,188.1
2019-01-12T09:00,10.1,10,91,1011.5,1.5,164,45,659.9
2019-01-12T10:00,11.8,29,86,1012.2,1.5,273,153,368.2
2019-01-12T11:00,14.1,0,72,1011.9,5.8,259,259,0
2019-01-12T12:00,14.6,8,68,1010.7,7.1,508,157,705.5
2019-01-12T13:00,15.6,13,61,1010.2,11.3,505,141,711.1
2019-01-12T14:00,16.3,17,56,1010,12.4,491,71,882.2
2019-01-12T15:00,16.4,10,57,1010.6,9.2,381,78,771.6
2019-01-12T16:00,15,17,62,1010.9,7.6,229,67,606
2019-01-12T17:00,13.2,21,68,1011,1.3,46,38,59.8
2019-01-12T18:00,12,17,75,1011.7,9.7,0,0,0
2019-01-12T19:00,10.8,24,79,1012.3,6.7,0,0,0
2019-01-12T20:00,10.2,10,79,1012.5,6.1,0,0,0
2019-01-12T21:00,10,8,81,1012.5,10,0,0,0
2019-01-12T22:00,9,8,86,1012.6,3.6,0,0,0
2019-01-12T23:00,8.2,0,89,1012.9,1.5,0,0,0
2019-01-13T00:00,7.7,0,88,1012.7,4,0,0,0
2019-01-13T01:00,7,0,92,1012.8,2.4,0,0,0
2019-01-13T02:00,6.6,0,92,1013.1,5.4,0,0,0
2019-01-13T03:00,6.2,0,91,1012.8,3.7,0,0,0
2019-01-13T04:00,5.7,0,91,1012.3,4.3,0,0,0
2019-01-13T05:00,5.4,0,90,1011.9,6.2,0,0,0
2019-01-13T06:00,5,0,91,1012.1,4,0,0,0
2019-01-13T07:00,4.8,0,91,1012,5.1,0,0,0
2019-01-13T08:00,5.4,2,96,1012.1,7.2,30,22,93.6
2019-01-13T09:00,8.5,15,92,1012.5,8.6,166,62,573.3
2019-01-13T10:00,11.6,25,79,1012.9,5.8,324,131,589.5
2019-01-13T11:00,14,0,64,1012.6,8.2,440,149,667.4
2019-01-13T12:00,14.5,31,60,1011.6,5.7,507,189,636.3
2019-01-13T13:00,15.6,92,55,1010.7,8.2,516,236,544.3
2019-01-13T14:00,16.2,100,53,1010.3,8.1,419,322,202.5
2019-01-13T15:00,16.2,100,55,1010.4,7,322,203,300.7
2019-01-13T16:00,16,57,55,1010.2,5.8,225,84,521.3
2019-01-13T17:00,14.2,62,63,1010.1,2.1,50,41,66.5
2019-01-13T18:00,11.9,75,69,1010.1,2.9,0,0,0
2019-01-13T19:00,10.4,80,73,1010.3,2.9,0,0,0
2019-01-13T20:00,9.6,97,75,1010.5,4.1,0,0,0
2019-01-13T21:00,9.1,74,78,1010.6,8.3,0,0,0
2019-01-13T22:00,8.6,62,79,1010.8,7.8,0,0,0
2019-01-13T23:00,8.1,20,81,1010.6,5.4,0,0,0
2019-01-14T00:00,7.6,25,86,1010,7,0,0,0
2019-01-14T01:00,7.4,19,84,1009.4,6.4,0,0,0
2019-01-14T02:00,7.6,0,83,1009.3,3.7,0,0,0
2019-01-14T03:00,7.1,6,87,1009.2,5.2,0,0,0
2019-01-14T04:00,6.9,60,85,1008.6,4.6,0,0,0
2019-01-14T05:00,7.1,57,88,1007.9,3.1,0,0,0
2019-01-14T06:00,7.3,100,88,1007.9,3.1,0,0,0
2019-01-14T07:00,7.4,97,88,1008.1,1,0,0,0
2019-01-14T08:00,7.7,72,90,1008,7.6,22,22,0
2019-01-14T09:00,9.4,100,89,1008.4,6.6,46,46,0
2019-01-14T10:00,11,91,89,1008.3,8.9,226,225,3
2019-01-14T11:00,12.8,37,78,1008.3,5.4,218,218,0
2019-01-14T12:00,12.9,30,68,1007.4,18.4,242,242,0
2019-01-14T13:00,12.9,84,68,1006.2,17.4,146,146,0
2019-01-14T14:00,14.2,63,60,1006,23,348,344,8.3
2019-01-14T15:00,13,62,67,1006.4,20.7,48,48,0
2019-01-14T16:00,13.1,22,67,1006.6,15.5,193,180,47.5
2019-01-14T17:00,11.8,91,72,1006.9,11.3,45,45,0
2019-01-14T18:00,10.7,17,78,1007.1,9.3,0,0,0
2019-01-14T19:00,9.5,12,87,1007.3,8.4,0,0,0
2019-01-14T20:00,9.2,1,86,1007.2,8.3,0,0,0
2019-01-14T21:00,8.4,41,88,1007.2,6.9,0,0,0
2019-01-14T22:00,8.4,97,85,1007.2,9.5,0,0,0
2019-01-14T23:00,8.1,100,86,1007.4,6.9,0,0,0
2019-01-15T00:00,8.2,57,86,1007.2,7.9,0,0,0
2019-01-15T01:00,8.3,45,86,1006.8,10.9,0,0,0
2019-01-15T02:00,8.4,7,89,1006.9,8.1,0,0,0
2019-01-15T03:00,8.2,5,89,1006.6,9.9,0,0,0
2019-01-15T04:00,8.3,6,87,1006.2,11.5,0,0,0
2019-01-15T05:00,8,16,89,1005.8,7.4,0,0,0
2019-01-15T06:00,8.1,16,90,1005.8,9.4,0,0,0
2019-01-15T07:00,8.2,75,92,1006,8.7,0,0,0
2019-01-15T08:00,8.9,99,92,1005.8,7.6,8,8,0
2019-01-15T09:00,10,99,91,1005.7,4.3,81,81,0
2019-01-15T10:00,10.5,100,91,1005.8,7.9,87,87,0
2019-01-15T11:00,11.2,100,89,1005.4,11.9,243,243,0
2019-01-15T12:00,11.4,100,90,1004.3,7.5,102,102,0
2019-01-15T13:00,11.1,100,91,1002.7,7,87,87,0
2019-01-15T14:00,11.5,64,92,1001.5,8.1,50,50,0
2019-01-15T15:00,11.5,66,91,1001.4,12.5,20,20,0
2019-01-15T16:00,11.6,45,91,1000.5,15.9,24,24,0
2019-01-15T17:00,11.6,69,91,1000.9,12.8,4,4,0
2019-01-15T18:00,11.5,88,91,1001.6,16.9,0,0,0
2019-01-15T19:00,12,63,90,1002.9,13,0,0,0
2019-01-15T20:00,11.8,83,89,1004.8,6.2,0,0,0
2019-01-15T21:00,11.9,84,92,1006.4,13,0,0,0
2019-01-15T22:00,12.1,82,87,1007.5,9.4,0,0,0
2019-01-15T23:00,11.7,80,84,1008.8,13.6,0,0,0
2019-01-16T00:00,11.5,70,89,1008.9,9.6,0,0,0
2019-01-16T01:00,11.3,73,91,1009,10.4,0,0,0
2019-01-16T02:00,11.1,79,92,1009.1,7.1,0,0,0
2019-01-16T03:00,11.3,59,93,1009.7,3.4,0,0,0
2019-01-16T04:00,11.7,82,91,1009.5,13.1,0,0,0
2019-01-16T05:00,11.4,93,91,1009.4,9.6,0,0,0
2019-01-16T06:00,11.7,93,84,1009.7,13.8,0,0,0
2019-01-16T07:00,11.6,100,83,1009.3,16.5,0,0,0
2019-01-16T08:00,11.8,100,82,1009.9,14.1,7,7,0
2019-01-16T09:00,12.8,100,78,1009.6,17.8,28,28,0
2019-01-16T10:00,13.6,100,76,1009.6,15.3,104,104,0
2019-01-16T11:00,14,100,73,1009,15.5,45,45,0
2019-01-16T12:00,14.1,100,73,1008.2,20.5,22,22,0
2019-01-16T13:00,13.9,100,79,1006.9,20,179,179,0
2019-01-16T14:00,13.4,91,90,1006.3,24.1,251,251,0
2019-01-16T15:00,13.9,100,87,1006,22.1,67,67,0
2019-01-16T16:00,13.8,100,91,1005.7,21,31,31,0
2019-01-16T17:00,14,80,90,1004.8,23.2,8,8,0
2019-01-16T18:00,14.7,75,84,1004.2,21.6,0,0,0
2019-01-16T19:00,13.9,99,91,1004.4,7.1,0,0,0
2019-01-16T20:00,14.1,100,90,1004.4,20.6,0,0,0
2019-01-16T21:00,14.7,88,88,1004,23.4,0,0,0
2019-01-16T22:00,14.8,49,83,1004.8,27.7,0,0,0
2019-01-16T23:00,14.2,41,83,1006.3,29.2,0,0,0
2019-01-17T00:00,13.5,58,83,1006.7,13.2,0,0,0
2019-01-17T01:00,12.9,100,86,1007,8,0,0,0
2019-01-17T02:00,12.6,100,85,1007.6,6.2,0,0,0
2019-01-17T03:00,12.1,100,85,1008.3,3.2,0,0,0
2019-01-17T04:00,12.1,89,85,1008.7,7.1,0,0,0
2019-01-17T05:00,12.1,84,83,1008.8,8.6,0,0,0
2019-01-17T06:00,11.7,20,80,1009.3,6.9,0,0,0
2019-01-17T07:00,11.2,16,81,1010.2,6.7,0,0,0
2019-01-17T08:00,11.5,33,83,1011.1,5.7,33,13,227.7
2019-01-17T09:00,13.2,52,84,1012,2.6,154,100,289.1
2019-01-17T10:00,13.8,56,83,1013.5,4.8,128,128,0
2019-01-17T11:00,15.1,49,76,1014.5,8,324,251,164.3
2019-01-17T12:00,15,87,72,1014.2,6.3,229,229,0
2019-01-17T13:00,15.4,42,69,1014,9.8,504,266,452.8
2019-01-17T14:00,14.9,100,70,1014.5,11.1,388,368,40.7
2019-01-17T15:00,14.7,75,72,1014.7,11.5,362,247,281.5
2019-01-17T16:00,14.1,41,77,1015.2,11.6,252,118,472.5
2019-01-17T17:00,13.4,52,77,1015.6,11.5,65,58,49.2
2019-01-17T18:00,12.8,29,76,1016.2,12.2,0,0,0
2019-01-17T19:00,11.7,40,78,1017.1,5.4,0,0,0
2019-01-17T20:00,11.2,36,83,1018,3.6,0,0,0
2019-01-17T21:00,10.9,35,84,1018.6,2.1,0,0,0
2019-01-17T22:00,11.2,32,86,1019.3,2.3,0,0,0
2019-01-17T23:00,11,31,85,1020.1,3.1,0,0,0
2019-01-18T00:00,10.9,47,90,1020.7,2.7,0,0,0
2019-01-18T01:00,10.2,16,89,1020.8,3.6,0,0,0
