,NWP_GHI,NWP_DNI,NWP_DHI,NWP_Temp,NWP_Wind,NWP_Humidity,NWP_Press,NWP_Cloud,NWP_Precip
2018-01-01 08:00:00+00:00,0.0,0.0,0.0,10.029775269528898,0.9359726632440649,85.56368588160989,102175.52344602386,13.413089588451621,0.0
2018-01-01 08:15:00+00:00,0.0,0.0,0.0,9.91606301839165,1.0738934009461127,85.9804118229679,102153.17544703504,14.12341873559886,0.0
2018-01-01 08:30:00+00:00,0.0,0.0,0.0,9.848579153463303,1.1373395470446581,86.23435192540036,102142.22379714562,14.8337478827461,0.0
2018-01-01 08:45:00+00:00,0.0,0.0,0.0,9.81367242249462,1.145031115180574,86.36583356384637,102140.24126762134,15.544077029893337,0.0
2018-01-01 09:00:00+00:00,0.0,0.0,0.0,9.797691573236364,1.115688118994734,86.41518411324496,102144.80062972805,16.254406177040575,0.0
2018-01-01 09:15:00+00:00,0.0,0.0,0.0,9.786985353439297,1.068030572128011,86.42273094853525,102153.4746547315,16.15979735400485,0.0
2018-01-01 09:30:00+00:00,0.0,0.0,0.0,9.767902510854187,1.0207784882212783,86.42880144465633,102163.83611389755,16.06518853096913,0.0
2018-01-01 09:45:00+00:00,0.0,0.0,0.0,9.726791793231792,0.9926518809154089,86.47372297654726,102173.45777849188,15.970579707933407,0.0
2018-01-01 10:00:00+00:00,0.0,0.0,0.0,9.650001948322881,1.0023707638512762,86.59782291914715,102179.91241978039,15.875970884897683,0.0
2018-01-01 10:15:00+00:00,0.0,0.0,0.0,9.531599017983607,1.0593490730676964,86.81652184474096,102181.33864264305,14.659026749881736,0.0
2018-01-01 10:30:00+00:00,0.0,0.0,0.0,9.396518220491707,1.135776434195258,87.04561311499722,102178.1383864169,13.442082614865791,0.0
2018-01-01 10:45:00+00:00,0.0,0.0,0.0,9.27741206823031,1.1945363952624939,87.17598328893038,102171.27942405324,12.225138479849846,0.0
2018-01-01 11:00:00+00:00,0.0,0.0,0.0,9.206933073582547,1.1985125042979354,87.09851892555483,102161.72952850329,11.0081943448339,0.0
2018-01-01 11:15:00+00:00,0.0,0.0,0.0,9.206406342076267,1.1219193362395266,86.74905475827951,102150.51498375312,10.659515053484503,0.0
2018-01-01 11:30:00+00:00,0.0,0.0,0.0,9.251847351818197,0.9842955736628561,86.24321821809104,102138.89611792774,10.310835762135106,0.0
2018-01-01 11:45:00+00:00,0.0,0.0,0.0,9.307944174059806,0.8165109260529263,85.74158491037056,102128.19177018698,9.962156470785711,0.0
2018-01-01 12:00:00+00:00,0.0,0.0,0.0,9.339384880052535,0.6494351028947373,85.40473044049918,102119.72077969067,9.613477179436314,0.0
2018-01-01 12:15:00+00:00,0.0,0.0,0.0,9.319311209527598,0.5078889883962363,85.35913957009231,102114.61930727988,16.10677063464209,0.0
2018-01-01 12:30:00+00:00,0.0,0.0,0.0,9.25467957613519,0.39249816565715306,85.59493368570233,102113.29280052056,22.600064089847862,0.0
2018-01-01 12:45:00+00:00,0.0,0.0,0.0,9.160900062005265,0.2978393925001626,86.06814333011597,102115.96402865999,29.093357545053635,0.0
2018-01-01 13:00:00+00:00,0.0,0.0,0.0,9.053382749267769,0.21848942674794025,86.73479904611986,102122.85576094534,35.58665100025941,0.0
2018-01-01 13:15:00+00:00,0.0,0.0,0.0,8.944793684097158,0.1509518634470371,87.54948038725763,102133.86369358927,50.35402011200463,0.0
2018-01-01 13:30:00+00:00,0.0,0.0,0.0,8.836822768845895,0.09943764653950812,88.46096295010034,102147.5752306658,65.12138922374987,0.0
2018-01-01 13:45:00+00:00,0.0,0.0,0.0,8.728415869910952,0.07008455719128431,89.41657134197611,102162.25070321452,79.8887583354951,0.0
2018-01-01 14:00:00+00:00,0.0,0.0,0.0,8.618518853689295,0.06903037656829651,90.3636301702129,102176.15044227478,94.65612744724032,0.0
2018-01-01 14:15:00+00:00,0.0,0.0,0.0,8.505468250677554,0.09874239915470075,91.25872434359998,102187.91870908787,95.05974089390078,0.0
2018-01-01 14:30:00+00:00,0.0,0.0,0.0,8.385163247770954,0.14700597270755325,92.0954799767712,102197.7354857017,95.46335434056124,0.0
2018-01-01 14:45:00+00:00,0.0,0.0,0.0,8.252893695964385,0.19793595830213534,92.87678348582168,102206.16468436616,95.86696778722171,0.0
2018-01-01 15:00:00+00:00,0.0,0.0,0.0,8.103949446252727,0.23564721701372823,93.60552128684647,102213.77021733086,96.27058123388217,0.0
2018-01-01 15:15:00+00:00,0.0,0.0,0.0,7.938893302615905,0.24935581208697438,94.28826918690541,102221.12215430962,96.36824195443518,0.0
