,x_cs,sigma_1m,sigma_5m
2019-01-01T00:00:00-0800,0.0,,
2019-01-01T01:00:00-0800,0.0,0.00019374233496679446,1.504740358142446e-05
2019-01-01T02:00:00-0800,0.0,5.313374041647215e-06,1.437602752939531e-06
2019-01-01T03:00:00-0800,0.0,5.6299285973947245e-06,6.533876649891369e-07
2019-01-01T04:00:00-0800,0.0,4.467933481478442e-06,5.939542335561329e-07
2019-01-01T05:00:00-0800,0.0,4.02067718051388e-06,8.577336140599867e-07
2019-01-01T06:00:00-0800,0.0,4.111717010993364e-06,4.84903348925721e-07
2019-01-01T07:00:00-0800,0.0,9.57317784706071e-06,8.090271210163055e-06
2019-01-01T08:00:00-0800,0.7441310974260618,0.0002076417857360855,0.0001590560205037246
2019-01-01T09:00:00-0800,1.1914619222104574,0.0045042457151626665,0.00135911777897759
2019-01-01T10:00:00-0800,1.019794133061853,0.00643438133834382,0.0011035060365793448
2019-01-01T11:00:00-0800,1.015060752676117,0.002636030613025069,0.0005288232317691003
2019-01-01T12:00:00-0800,1.018298704231605,0.0012228872433347592,0.00047236895715287516
2019-01-01T13:00:00-0800,0.9960754207045789,0.0036378671092752476,0.000589324139279452
2019-01-01T14:00:00-0800,1.0002758194927652,0.001780089616179864,0.0004240535051344348
2019-01-01T15:00:00-0800,0.9736003739314989,0.006496352640125673,0.0021458855455666562
2019-01-01T16:00:00-0800,0.978198182340455,0.008929395292091545,0.0019172958817727898
2019-01-01T17:00:00-0800,0.19748101155265368,0.008233294420344763,0.0010394096093042369
2019-01-01T18:00:00-0800,0.0,0.0002166184805203748,0.00015466650697690935
2019-01-01T19:00:00-0800,0.0,5.910814048231653e-06,1.101612793841283e-06
2019-01-01T20:00:00-0800,0.0,9.045392609569376e-06,1.0583638824833978e-06
2019-01-01T21:00:00-0800,0.0,5.4746052106714135e-06,9.126141393517832e-07
2019-01-01T22:00:00-0800,0.0,5.959471399285798e-06,9.596780140150202e-07
2019-01-01T23:00:00-0800,0.0,5.383601899083857e-06,9.422608069257802e-07
2019-01-02T00:00:00-0800,0.0,5.323877300584957e-06,1.0038174572238305e-06
2019-01-02T01:00:00-0800,0.0,4.942244053641384e-06,1.0098740231584017e-06
2019-01-02T02:00:00-0800,0.0,5.788614940629092e-06,9.058523072585238e-07
2019-01-02T03:00:00-0800,0.0,6.312453332998921e-06,1.1459244564395427e-06
2019-01-02T04:00:00-0800,0.0,6.07370718049459e-06,1.3629334903127157e-06
2019-01-02T05:00:00-0800,0.0,4.290068281513404e-06,8.726685315856437e-07
2019-01-02T06:00:00-0800,0.0,4.440205433652886e-06,2.9634328808932035e-07
2019-01-02T07:00:00-0800,0.0,9.142920817803106e-06,1.0985056956259118e-06
2019-01-02T08:00:00-0800,0.5934756409767952,0.00025624745100529336,8.740011729633001e-05
2019-01-02T09:00:00-0800,1.1001959654173565,0.00018037348911230952,3.524628158719479e-05
