Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_Transformer(Baseline),Pred_PiT-Net(Proposed)
0.1033235382666666,1.6649184616502315,1.345898699843984,0.6917202,1.1325047,1.4072868,1.7285163,1.8495427114220129,0.3893640299521433
0.1063418557333333,5.546290134493519,5.546337844984921,6.841647,6.0443697,3.2956336,3.541662,5.568259526405261,6.000944043980823
0.1107064852666666,1.0861163197423025,0.9531499446813678,0.656878,0.113031946,1.1163142,0.618359,1.3536800996573009,0.9651146289919132
0.1120133703999999,0.065399901691851,0.4748998133947749,0.5424693,0.41473505,0.024111014,1.776344,0.7632926652092841,0.2354990689476957
0.1131250540666666,10.125176447174304,9.5527746408828,10.863043,11.806512,7.15561,6.4969406,8.959704890856665,10.286023274655848
0.1132962029999999,0.2484174283095945,0.3596826021273545,0.26451477,1.0353793,0.53305197,0.6724954,0.7220225781581833,0.3057612138800639
0.1257759852,2.54971325484029,2.7061939129811186,3.0921633,2.4107869,1.2953471,1.0105603,2.8352037173493434,1.5686635605275825
0.1349866352666666,0.0,0.3776155883506167,0.0,0.0,0.77836776,1.9753327,1.059521642543767,0.5478394074678165
0.142330995,2.640622339806021,2.5703080048695117,2.7751186,0.0,0.018512353,0.0,2.6243869827416635,1.5442004193208834
0.1550587411333333,1.6548760618030525,1.3699937821876609,0.67258453,1.624463,0.62395036,0.0,1.1608808634472745,0.5954933127103794
0.157587072,6.974206177011459,5.435058049925403,4.6396303,0.9891325,2.5943217,6.3034177,6.741218162440245,5.939445853830801
0.1762727082666666,0.5610944530170461,0.7478755495881606,0.0,0.38776615,1.3132045,1.253743,5.6223184441740415,2.0460263206239286
0.1909086829333333,1.7594042785704336,2.1021314895567405,1.2750708,1.3381364,1.6660116,1.0567654,1.815870174516828,1.1967901242473795
0.193798904,1.414015884227212,1.8684495163356236,1.2827606,0.6083304,1.5103779,0.435171,1.3158159190767529,0.3082096579419477
0.1995835671333332,1.441460162375769,2.4854459967629343,1.6862735,2.3123116,0.84965575,2.31223,1.7707141565473337,1.0106539985510474
0.2059120172666666,0.0,1.6526324567317858,1.0170304,0.29554328,0.56787604,0.5510394,3.096911809678153,1.0593883430787967
0.214842412,1.2698428969315594,0.7379362868144964,0.13342024,1.9171714,0.6067239,2.254759,1.1906762791409995,0.7137254304638324
0.2183549789333333,0.0,1.1988458794780723,0.46029487,0.92629683,1.1816349,4.3953786,3.183053905524253,0.6604149212373239
0.2253772449999999,1.011524997983226,1.0868952294977492,0.7252129,1.1996591,0.9026127,1.9313333,1.6837698890498811,0.953337668744921
0.2309026461333333,9.972320658597528,7.064836471679883,5.0370154,18.8632,4.1964087,4.7250276,10.96047641609532,6.235909039181412
