Ground Truth,LSTM,CNN,Transformer(Baseline),PiT-Net(Proposed)
1.220500268733333,0.7224119999999998,0.5676253,1.109068798484351,0.9018928479436193
1.5711948804000002,0.9108855,0.6514601999999998,1.1657894253864614,1.180103252199528
1.779788091599999,0.9377744999999997,0.8774123,1.2340048083833315,1.437414436526693
2.0621838876666683,1.2886777,1.0658545000000004,1.057731703529651,1.5645713489629465
1.9924539850666667,1.0575580000000002,1.0797779999999992,1.2868114219404836,1.4031248907925447
2.324761070666666,1.5613292999999997,1.1428383000000002,0.9293217641391402,1.2521278877246615
2.8631921673333327,1.335700000000001,1.1468416999999995,0.847796480889353,1.2364611184348888
3.2102552075999995,1.41432,1.1872509999999998,0.8829375392174992,1.021228908202641
1.422640343466668,1.0692969999999988,1.0573580000000007,0.7205427638158213,1.1334977634445966
1.3239305380000008,1.1157580000000014,0.9295179999999998,1.1081406041145403,0.8487470429921036
2.748714680799999,0.8964799999999986,1.0058190000000007,0.5563507510263488,0.6812769241825336
0.7436848831333336,0.733683000000001,0.7467119999999987,0.0816879421503014,0.7404137389675842
4.586357664066664,0.1123119999999993,0.44893800000000006,0.4986844810967259,0.7027356462390646
0.7909468232000005,0.13190499999999972,0.3763840000000016,0.3604722263049567,0.5251887366931314
1.4994494686666613,0.10784199999999977,0.27510799999999946,0.4364792242775817,0.15841117845475594
2.727606839799998,0.2824844999999989,0.28495500000000007,0.4857604685426775,0.5633916109862014
2.7460537225999992,0.2123135000000005,0.10108400000000017,0.16215780587314121,0.3553476244069991
7.152888919066664,0.5289785000000009,0.002489999999999881,0.25952689104841475,0.3950053604606474
6.550294936800006,0.03662550000000131,0.030371000000000592,0.16749193331667733,0.018120860546964934
5.033277341999998,0.15736599999999967,0.1582560000000015,0.28302232045169085,0.13440948755784277
1.5413016133333386,0.230478999999999,0.08588899999999988,0.11193301112262688,4.942619250769553e-05
8.630694250533331,0.3707760000000011,0.1852400000000003,0.1135451025468992,0.03126871825858757
11.340181068666663,0.3290620000000004,0.37818799999999975,0.17851879450410202,0.21483749636184513
1.1339042281999996,0.23616899999999852,0.15421049999999958,0.26568963090171316,0.35909932448107185
0.4415630895333331,0.31339499999999987,0.2450045000000003,0.056732457829751226,0.14654800460407813
0.6182647066666673,0.342333,0.3155070000000002,0.2782274924818591,0.0948823570044155
0.9196366047333342,0.39273700000000034,0.21358999999999995,0.18487955193238825,0.26150132568686857
0.049977842866664624,0.5192109999999985,0.5225589999999993,0.5808548054245932,0.10567312283233221
1.4176476277333316,0.6946590000000015,0.5875830000000004,0.11656092559905495,0.4738264715705096
0.6432693132000002,0.600975,0.4812409999999989,0.046694105969267596,0.298944251999659
2.6653120007333344,0.9092839999999995,0.8413620000000002,1.0547707219903124,0.5885709565641033
0.2830560245999991,1.0759360000000004,0.4309030000000007,0.5989536804525404,0.7646492019621292
0.5679367864666669,1.339255999999999,0.6919299999999993,0.5745722651640648,0.8604457610858454
1.4914395798000002,1.4939790000000013,0.8395609999999998,0.8273763606527158,0.8864856478224095
0.3893124919333334,1.4205679999999994,1.0462823000000006,0.8157619739638307,1.0129787047762981
0.47701441359999996,1.6001459999999996,1.1013031,0.9535872651448436,1.1479277003848178
0.35532727399999997,1.6547590000000003,0.8735806000000004,1.0975426506217678,1.2597598845096663
0.07001906653333329,1.1460920000000003,1.1124942999999998,1.1313927138435842,1.3925404849618692
0.29209140580000004,1.0591253999999997,0.9692037,1.1625099999860522,1.63277886120349
0.43018576340000003,0.6633058399999999,0.3790857000000001,0.9183866152755713,0.6238933818308554
0.6251296137999999,0.47067000000000014,0.6023646999999999,1.043987175438323,0.7863651340507245
0.8753090887333337,1.297759,0.6362171000000001,1.471915001785125,1.037506732737238
0.2871416061333334,0.9549314999999998,0.5623244999999999,0.45389410865364166,1.0124116996063939
0.8198484783333329,1.7639202999999997,0.6344777000000001,0.8190296089224489,0.911073650411641
0.782989516866667,1.3751402000000006,0.8324905,1.2318232120836123,0.8922137397607681
1.1749927279999994,1.8493985000000004,0.8857980000000003,0.7669709288586404,0.9169711519991894
0.000897161666666868,1.5779299999999985,0.7161499999999998,0.1785824867715693,0.8890181633908405
1.008028260333333,2.027496000000001,0.678585,1.1294938657369027,0.9644603331741193
0.09697544893333276,1.6320959999999989,0.7865812999999999,0.6164980635918571,0.8180691199989685
0.3290717792000004,1.9675139999999995,0.5822077000000005,0.4541098709944933,0.9369042560849437
2.116944001466666,1.4630130000000001,0.5016909999999992,1.027779705040599,0.8905302920170364
0.9255370446666671,1.2533260000000013,0.40128699999999995,0.390915159289154,0.7857798199957706
1.2225302429999996,1.1041999999999987,0.4487030000000001,0.4480993270134537,0.33294515182058504
0.20428474560000076,0.45137100000000174,0.3602469999999993,0.8296058677068743,0.7785083580006322
5.304032526600001,0.43083599999999933,0.20073700000000017,0.22289407193638588,0.6167299837264562
9.478569384799997,0.08474199999999854,0.23096100000000064,0.9139850723298277,0.7223227894634547
0.27700744333333205,0.09593499999999722,0.1101100000000006,0.7247943255579941,0.37835170746761904
4.013166351999999,0.010310000000000485,0.11764999999999937,1.4777536750992013,0.22386816409810706
2.018753053933331,0.36053099999999816,0.09932900000000089,1.0880212597040924,0.1649891454142427
1.153449554733335,0.0803590000000014,0.1235690000000016,0.06721065599553988,0.011290529011333206
0.5669234464666655,0.336942999999998,0.28644999999999854,0.0761832844387893,0.2055489847770371
1.2842489182000012,0.16507700000000014,0.09523000000000081,1.5398306937043849,0.3798825145024658
11.32237979,0.24657300000000149,0.11558199999999985,2.1694802886998126,0.29958931730539895
9.380171091333334,0.1432469999999988,0.15384700000000073,1.55635668783591,0.3943823624154881
0.46428551799999696,0.03909900000000022,0.3534589999999991,0.98647421470959,0.754509196101532
7.4764963653333325,0.8200430000000019,0.5684540000000009,1.5549492331785384,0.45756623539525343
11.412078358733332,0.7217449999999985,0.5867649999999998,0.275741295526716,0.4113211537456962
2.3999698393333375,0.6289219999999993,0.5433603999999992,0.8656861997338918,0.027183596825219425
7.135969630066668,0.9109450000000017,0.8570042000000004,0.03095060859156895,0.09443632424291515
