Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_Transformer(Baseline),Pred_PiT-Net(Proposed)
0.1062152820666666,0.0,0.2426525990833291,0.3786481,0.49126998,0.21767628,1.1165045,0.6467697517191968,0.2540512316284719
0.1066269785999999,2.120260463815594,1.850433922343219,0.43043277,0.7433084,0.5957986,0.0,2.404730031719708,0.7210517108333745
0.1084731039999999,0.1381460071599997,0.2426525990833291,0.33869576,0.7764831,0.4077604,0.93423516,0.644886322228943,0.2533513191464179
0.1091061443333333,0.4598862553193947,0.361933206407349,0.24974078,0.9140226,0.65376365,1.3876239,0.7742536537351811,0.3232772174269789
0.1122780941999999,1.1302675694151756,2.238418824612338,0.64729,1.2739413,1.2839619,1.0484675,1.610306242215819,0.7644138848958894
0.1139576798666666,0.8621140657827223,0.4333153315444892,0.6088086,0.0,0.59207165,0.0,1.7282575694797429,0.5344587486229325
0.1247924212,3.339619025641088,3.8399830853744974,4.9213524,1.2857556,1.697044,1.4666404,6.707290415895037,3.2960997245425867
0.1276939546,1.881166919141794,0.8502111436753075,1.4341409,0.0,1.5081173,0.0,3.8191592071147817,1.7179521890203109
0.1282364114666666,1.898808603453898,0.7095186294571008,0.3344109,0.34490094,0.73389685,0.0,1.282681575905391,0.3629607303419961
0.1297477468666666,1.5606615708331413,0.6435640171812516,1.0825825,0.0,0.8385082,0.0,2.929934644858222,1.0572256512930345
0.1341726972,0.4933967463359317,0.207089569822632,1.5441039,1.9921681,0.0,0.0,1.9802541206619737,0.966616238942289
0.1439551076,0.6794137249004607,0.4666018727741979,0.57186806,0.35421953,0.049457837,0.73307765,0.7736687542486255,0.230318615266663
0.1446808660666666,2.4189675957479557,0.7328554192902672,3.3947043,5.686968,0.7625058,0.09320977,5.403962048137559,3.591617665753806
0.1778621727333333,0.2316859951491176,1.1337965179923604,0.4328031,1.4723072,0.8646411,0.0,1.3051996744779146,0.6557975444939577
0.1791947738666666,0.6614192969200934,0.3207338472147232,2.2109635,2.8838248,0.0,0.0,2.8853637267103345,1.7912560307357863
0.1903876690666666,0.0,0.3894284165716023,0.2646399,0.20615198,0.08391848,0.0,0.4592238029018489,0.1511466631422459
0.1945629004578614,0.9933822029840206,1.1599954797873573,1.7585601,0.45132637,0.13253741,0.0,0.836558143826315,0.2716500582013085
0.2187613591333333,2.7342379846506177,1.803229580787045,1.8633766,0.37451702,0.4600705,0.0,2.260978697624826,0.8867799081211817
0.2352202188666666,0.1901841280786457,0.2775951557853846,0.27827892,1.0313697,0.69913775,1.5937111,0.8330523987675157,0.3365169693162365
0.2356792942666666,0.0,1.1238163465266209,0.6290213,0.45580703,0.87014055,0.0,0.6313482460138841,0.2486949884317726
0.2529976010666666,2.8597523991462506,1.134197199237059,2.3607376,0.0,2.2143478,0.4646804,5.115781319069169,2.489775369626648
0.2588349217333333,0.0,0.1786856365392056,0.3824541,0.381248,0.32755363,1.3329948,0.6607207286046382,0.2622083920356876
0.2687159044,0.2018000519711373,0.3894284165716023,0.47309133,0.292498,0.15666263,0.0,0.4931969024385682,0.1444478382323586
