Regime,Model,Absolute Ramp Rate (kW)
Clear Sky,CNN,0.9055324000000002
Clear Sky,CNN,0.868716
Clear Sky,CNN,0.9740316
Clear Sky,CNN,0.8989947000000003
Clear Sky,CNN,1.1453143
Clear Sky,CNN,1.2731400000000006
Clear Sky,CNN,1.3120149999999988
Clear Sky,CNN,1.2177610000000012
Clear Sky,CNN,1.3784649999999985
Clear Sky,CNN,1.2147110000000012
Clear Sky,CNN,1.3100629999999995
Clear Sky,CNN,0.9553860000000007
Clear Sky,CNN,1.2038329999999995
Clear Sky,CNN,0.9640099999999983
Clear Sky,CNN,0.8459530000000015
Clear Sky,CNN,0.6626699999999985
Clear Sky,CNN,0.6299690000000027
Clear Sky,CNN,0.61721
Clear Sky,CNN,0.3081069999999997
Clear Sky,CNN,0.2656019999999977
Clear Sky,CNN,0.19067400000000134
Clear Sky,CNN,0.08796699999999902
Clear Sky,CNN,0.08056700000000205
Clear Sky,CNN,0.21864200000000267
Clear Sky,CNN,0.1078199999999967
Clear Sky,CNN,0.054608000000001766
Clear Sky,CNN,0.11759100000000089
Clear Sky,CNN,0.2185459999999999
Clear Sky,CNN,0.29151999999999845
Clear Sky,CNN,0.35256800000000155
Clear Sky,CNN,0.40503
Clear Sky,CNN,0.6572499999999977
Clear Sky,CNN,0.7024460000000019
Clear Sky,CNN,0.6343989999999984
Clear Sky,CNN,0.5824570000000016
Clear Sky,CNN,1.070806000000001
Clear Sky,CNN,1.1223159999999979
Clear Sky,CNN,1.3764510000000012
Clear Sky,CNN,1.3670869999999997
Clear Sky,CNN,1.311204
Clear Sky,CNN,1.4062509999999993
Clear Sky,CNN,1.4000130000000013
Clear Sky,CNN,1.3842896999999992
Clear Sky,CNN,1.1498773
Clear Sky,CNN,1.208932
Clear Sky,CNN,0.8389100000000003
Clear Sky,CNN,1.0017209999999999
Clear Sky,CNN,0.6443903
Clear Sky,CNN,0.6105669000000002
Clear Sky,CNN,0.35023799999999994
Clear Sky,CNN,0.4905106
Clear Sky,CNN,0.6008171
Clear Sky,CNN,0.5637531000000002
Clear Sky,CNN,0.9979924999999996
Clear Sky,CNN,1.1014303000000005
Clear Sky,CNN,1.1676785
Clear Sky,CNN,1.1051439999999992
Clear Sky,CNN,1.3416505
Clear Sky,CNN,1.4291149999999995
Clear Sky,CNN,1.4772275000000015
Clear Sky,CNN,1.3521634999999996
Clear Sky,CNN,1.484769
Clear Sky,CNN,1.3770360000000004
Clear Sky,CNN,1.2649579999999983
Clear Sky,CNN,1.0163140000000013
Clear Sky,CNN,1.3237890000000014
Clear Sky,CNN,0.8716159999999995
Clear Sky,CNN,0.8296439999999983
Clear Sky,CNN,0.5322130000000023
Clear Sky,CNN,0.5466729999999984
Clear Sky,CNN,0.5369600000000005
Clear Sky,CNN,0.2337479999999985
Clear Sky,CNN,0.1532650000000011
Clear Sky,CNN,0.10861399999999932
Clear Sky,CNN,0.0039130000000007215
Clear Sky,CNN,0.10047000000000139
Clear Sky,CNN,0.29211600000000004
Clear Sky,CNN,0.08855600000000052
Clear Sky,CNN,0.06127400000000094
Clear Sky,CNN,0.15507699999999858
Clear Sky,CNN,0.19819400000000087
Clear Sky,CNN,0.3152310000000007
Clear Sky,CNN,0.4582620000000013
Clear Sky,CNN,0.5438519999999976
Clear Sky,CNN,0.8414980000000014
Clear Sky,CNN,0.8161750000000012
Clear Sky,CNN,0.8046489999999977
Clear Sky,CNN,0.6473289999999992
Clear Sky,CNN,1.1606410000000018
Clear Sky,CNN,1.2073909999999994
Clear Sky,CNN,1.3966539999999998
Clear Sky,CNN,1.4139
Clear Sky,CNN,1.3187100000000012
Clear Sky,CNN,1.3854604999999989
Clear Sky,CNN,1.4020935000000012
Clear Sky,CNN,1.4108979999999995
Clear Sky,CNN,1.1255189999999997
Clear Sky,CNN,1.257612
Clear Sky,CNN,0.8908202000000003
Clear Sky,CNN,1.0749881000000001
Clear Sky,CNN,0.6206300999999999
Clear Sky,CNN,0.6673624999999999
Clear Sky,CNN,0.25934732
Clear Sky,CNN,0.5947414799999999
Clear Sky,CNN,0.6511918000000001
Clear Sky,CNN,0.6943574000000001
Clear Sky,CNN,1.0948105999999997
Clear Sky,CNN,1.2265208000000003
Clear Sky,CNN,1.2054555999999996
Clear Sky,CNN,1.2298724000000005
Clear Sky,CNN,1.4194166
Clear Sky,CNN,1.5290529999999993
Clear Sky,CNN,1.5881910000000001
Clear Sky,CNN,1.4189629999999998
Clear Sky,CNN,1.5719089999999998
Clear Sky,CNN,1.4326430000000006
Clear Sky,CNN,1.301369000000001
Clear Sky,CNN,1.0836949999999987
Clear Sky,CNN,1.3638429999999993
Clear Sky,CNN,0.8976390000000016
Clear Sky,CNN,0.8411059999999999
Clear Sky,CNN,0.6519720000000007
Clear Sky,CNN,0.5515519999999974
Clear Sky,CNN,0.5214350000000003
Clear Sky,CNN,0.2569669999999995
Clear Sky,CNN,0.14384500000000244
Clear Sky,CNN,0.10256399999999743
Clear Sky,CNN,0.042423000000002986
Clear Sky,CNN,0.03873099999999852
Clear Sky,CNN,0.23887299999999811
Clear Sky,CNN,0.15613100000000202
Clear Sky,CNN,0.10090100000000035
Clear Sky,CNN,0.14789599999999936
Clear Sky,CNN,0.24169900000000055
Clear Sky,CNN,0.3239750000000008
Clear Sky,CNN,0.49320900000000023
Clear Sky,CNN,0.5420049999999996
Clear Sky,CNN,0.8230550000000001
Clear Sky,CNN,0.867919999999998
Clear Sky,CNN,0.7870820000000016
Clear Sky,CNN,0.7909480000000002
Clear Sky,CNN,1.2057000000000002
Clear Sky,CNN,1.2846029999999988
Clear Sky,CNN,1.4491069999999997
Clear Sky,CNN,1.4443169999999999
Clear Sky,CNN,1.386686000000001
Clear Sky,CNN,1.384373
Clear Sky,CNN,1.412998
Clear Sky,CNN,1.4098299999999995
Clear Sky,CNN,1.1386272999999996
Clear Sky,CNN,1.251913
Clear Sky,CNN,0.885901
Clear Sky,CNN,1.1059201
Clear Sky,CNN,0.6143524999999999
Clear Sky,CNN,0.7083634000000001
Clear Sky,CNN,0.12705337
Clear Sky,CNN,0.6403437300000001
Clear Sky,CNN,0.7036551999999999
Clear Sky,CNN,0.7050682000000001
Clear Sky,CNN,1.1453316
Clear Sky,CNN,1.2401828999999998
Clear Sky,CNN,1.2470765000000004
Clear Sky,CNN,1.1790984999999994
Clear Sky,CNN,1.3570550000000008
Clear Sky,CNN,1.5041654999999992
Clear Sky,CNN,1.5353715000000001
Clear Sky,CNN,1.3650190000000002
Clear Sky,CNN,1.5283805000000008
Clear Sky,CNN,1.368750499999999
Clear Sky,CNN,1.3638849999999998
Clear Sky,CNN,1.0503579999999992
Clear Sky,CNN,1.3247130000000027
Clear Sky,CNN,0.9004799999999982
Clear Sky,CNN,0.829108999999999
Clear Sky,CNN,0.699423000000003
Clear Sky,CNN,0.5370599999999968
Clear Sky,CNN,0.5458050000000014
Clear Sky,CNN,0.24542399999999986
Clear Sky,CNN,0.20240400000000136
Clear Sky,CNN,0.08595299999999995
Clear Sky,CNN,0.0972629999999981
Clear Sky,CNN,0.10705600000000004
Clear Sky,CNN,0.23705899999999858
Clear Sky,CNN,0.07597200000000015
Clear Sky,CNN,0.0925079999999987
Clear Sky,CNN,0.03839900000000185
Clear Sky,CNN,0.2673409999999983
Clear Sky,CNN,0.30647900000000305
Clear Sky,CNN,0.510514999999998
Clear Sky,CNN,0.5013180000000013
Clear Sky,CNN,0.8319109999999981
Clear Sky,CNN,0.780851000000002
Clear Sky,CNN,0.8050180000000005
Clear Sky,CNN,0.7613579999999978
Clear Sky,CNN,1.195952000000002
Clear Sky,CNN,1.260171999999999
Clear Sky,CNN,1.514838000000001
Clear Sky,CNN,1.3614709999999999
Clear Sky,CNN,1.3905459999999987
Clear Sky,CNN,1.3974930000000008
Clear Sky,CNN,1.383877
Clear Sky,CNN,1.5074322999999996
Clear Sky,CNN,1.1904317000000004
Clear Sky,CNN,1.2935590000000001
Clear Sky,CNN,0.9489177999999998
Clear Sky,CNN,1.0965965
Clear Sky,CNN,0.7239019999999998
Clear Sky,CNN,0.6816564999999999
Clear Sky,CNN,0.43888538000000005
Clear Sky,CNN,0.5989242300000001
Clear Sky,CNN,0.6752243
Clear Sky,CNN,0.6201185
Clear Sky,CNN,1.1122727000000001
Clear Sky,CNN,1.139955
Clear Sky,CNN,1.2216623999999996
Clear Sky,CNN,1.1354576000000005
Clear Sky,CNN,1.3840939999999993
Clear Sky,CNN,1.4823529999999998
Clear Sky,CNN,1.4742800000000003
Clear Sky,CNN,1.3517349999999997
Clear Sky,CNN,1.52271
Clear Sky,CNN,1.301196000000001
Clear Sky,CNN,1.2960299999999982
Clear Sky,CNN,0.9788720000000026
Clear Sky,CNN,1.2422179999999976
Clear Sky,CNN,0.878622
Clear Sky,CNN,0.7413900000000027
Clear Sky,CNN,0.6012019999999971
Clear Sky,CNN,0.5160340000000012
Clear Sky,CNN,0.5167539999999988
Clear Sky,CNN,0.20604700000000165
Clear Sky,CNN,0.18510200000000054
Clear Sky,CNN,0.09032499999999999
Clear Sky,CNN,0.07851399999999842
Clear Sky,CNN,0.06607200000000191
Clear Sky,CNN,0.24713200000000057
Clear Sky,CNN,0.10636600000000129
Clear Sky,CNN,0.06605599999999967
Clear Sky,CNN,0.10281499999999966
Clear Sky,CNN,0.2374900000000011
Clear Sky,CNN,0.29448700000000017
Clear Sky,CNN,0.47108599999999967
Clear Sky,CNN,0.43715999999999866
Clear Sky,CNN,0.7966030000000011
Clear Sky,CNN,0.7653770000000009
Clear Sky,CNN,0.7374699999999983
Clear Sky,CNN,0.7128680000000003
Clear Sky,CNN,1.1697319999999998
Clear Sky,CNN,1.2274960000000004
Clear Sky,CNN,1.4994769999999988
Clear Sky,CNN,1.4309740000000009
Clear Sky,CNN,1.3793760000000006
Clear Sky,CNN,1.4267439999999993
Clear Sky,CNN,1.480397
Clear Sky,CNN,1.4581182999999998
Clear Sky,CNN,1.1637993
Clear Sky,CNN,1.2487130000000004
Clear Sky,CNN,0.9139076999999998
Clear Sky,CNN,1.0519662000000003
Clear Sky,CNN,0.6769870999999998
Clear Sky,CNN,0.6430737
Clear Sky,CNN,0.05608751
Clear Sky,CNN,0.63457099
Clear Sky,CNN,0.7269862000000001
Clear Sky,CNN,0.7623917999999998
Clear Sky,CNN,1.1679127999999999
Clear Sky,CNN,1.2744710000000001
Clear Sky,CNN,1.2951056999999997
Clear Sky,CNN,1.2147214000000002
Clear Sky,CNN,1.4565720999999998
Clear Sky,CNN,1.5298285000000007
Clear Sky,CNN,1.5973189999999988
Clear Sky,CNN,1.4403040000000011
Clear Sky,CNN,1.511977
Clear Sky,CNN,1.4199080000000013
Clear Sky,CNN,1.3303489999999982
Clear Sky,CNN,1.0092309999999998
Clear Sky,CNN,1.3833130000000011
Clear Sky,CNN,0.8568259999999981
Clear Sky,CNN,0.8342760000000027
Clear Sky,CNN,0.6651429999999969
Clear Sky,CNN,0.5294110000000032
Clear Sky,CNN,0.5236029999999978
Clear Sky,CNN,0.26158399999999915
Clear Sky,CNN,0.15773800000000193
Clear Sky,CNN,0.07503399999999871
Clear Sky,CNN,0.09054000000000073
Clear Sky,CNN,0.013152999999999082
Clear Sky,CNN,0.2625019999999978
Clear Sky,CNN,0.11871200000000215
Clear Sky,CNN,0.11510399999999876
Clear Sky,CNN,0.10697800000000157
Clear Sky,CNN,0.2714749999999988
Clear Sky,CNN,0.3205939999999998
Clear Sky,CNN,0.541207
Clear Sky,CNN,0.5349460000000015
Clear Sky,CNN,0.851305
Clear Sky,CNN,0.8503860000000003
Clear Sky,CNN,0.8532159999999998
Clear Sky,CNN,0.7960299999999982
Clear Sky,CNN,1.2390180000000015
Clear Sky,CNN,1.3330189999999984
Clear Sky,CNN,1.463750000000001
Clear Sky,CNN,1.4545899999999996
Clear Sky,CNN,1.4284269999999992
Clear Sky,CNN,1.372091000000001
Clear Sky,CNN,1.3455370000000002
Clear Sky,CNN,1.4014775999999989
Clear Sky,CNN,1.1594048000000008
Clear Sky,CNN,1.231636
Clear Sky,CNN,0.8680012999999995
Clear Sky,CNN,1.0650715000000002
Clear Sky,CNN,0.6373797999999997
Clear Sky,CNN,0.6650941000000001
Clear Sky,CNN,0.46237014
Clear Sky,CNN,0.5889203599999999
Clear Sky,CNN,0.6959571
Clear Sky,CNN,0.7533879000000003
Clear Sky,CNN,1.0984341999999994
Clear Sky,CNN,1.2526720000000005
Clear Sky,CNN,1.142074
Clear Sky,CNN,1.0544653999999998
Clear Sky,CNN,1.2140346000000006
Clear Sky,CNN,1.434495
Clear Sky,CNN,1.3295014999999992
Clear Sky,CNN,1.2274744999999996
Clear Sky,CNN,1.3329560000000011
Clear Sky,CNN,1.1510059999999989
Clear Sky,CNN,1.2168340000000022
Clear Sky,CNN,0.814353999999998
Clear Sky,CNN,1.2304630000000003
Clear Sky,CNN,0.798373999999999
Clear Sky,CNN,0.8157440000000022
Clear Sky,CNN,0.7946709999999975
Clear Sky,CNN,0.6477180000000011
Clear Sky,CNN,0.7342569999999995
Clear Sky,CNN,0.3329960000000014
Clear Sky,CNN,0.3564720000000001
Clear Sky,CNN,0.19322400000000073
Clear Sky,CNN,0.2996009999999991
Clear Sky,CNN,0.03556400000000082
Clear Sky,CNN,0.3208120000000001
Clear Sky,CNN,0.051193000000001376
Clear Sky,CNN,0.19455800000000067
Clear Sky,CNN,0.190214000000001
Clear Sky,CNN,0.46131499999999903
Clear Sky,CNN,0.355398000000001
Clear Sky,CNN,0.6852869999999989
Clear Sky,CNN,0.5614919999999977
Clear Sky,CNN,0.8791100000000007
Clear Sky,CNN,0.7929250000000003
Clear Sky,CNN,0.8289350000000013
Clear Sky,CNN,0.6619919999999979
Clear Sky,CNN,1.1493430000000018
Clear Sky,CNN,1.3637094999999988
Clear Sky,CNN,1.4277765000000002
Clear Sky,CNN,1.413577
Clear Sky,CNN,1.4356150000000003
Clear Sky,CNN,1.4494220000000002
Clear Sky,CNN,1.4478489999999997
Clear Sky,CNN,1.3931567000000005
Clear Sky,CNN,1.2142548
Clear Sky,CNN,1.3149088
Clear Sky,CNN,0.8071791999999998
Clear Sky,CNN,1.0786423000000003
Clear Sky,CNN,0.7064648999999998
Clear Sky,CNN,0.4638637
Clear Sky,CNN,0.29067659999999984
Clear Sky,CNN,0.29334799999999994
Clear Sky,CNN,0.5031457000000001
Clear Sky,CNN,0.3757872999999998
Clear Sky,CNN,0.6982570000000008
Clear Sky,CNN,0.9155482999999993
Clear Sky,CNN,0.7575951000000005
Clear Sky,CNN,0.5567465999999994
Clear Sky,CNN,0.6766970000000008
Clear Sky,CNN,0.998469
Clear Sky,CNN,0.7357709999999997
Clear Sky,CNN,0.6626619999999992
Clear Sky,CNN,0.8087160000000004
Clear Sky,CNN,0.5372750000000011
Clear Sky,CNN,0.8365099999999988
Clear Sky,CNN,0.4120650000000001
Clear Sky,CNN,0.7889029999999995
Clear Sky,CNN,0.7513330000000007
Clear Sky,CNN,0.805085
Clear Sky,CNN,0.8716149999999985
Clear Sky,CNN,0.9119660000000032
Clear Sky,CNN,1.0563699999999976
Clear Sky,CNN,0.6248609999999992
Clear Sky,CNN,0.6469950000000004
Clear Sky,CNN,0.4678880000000021
Clear Sky,CNN,0.5821149999999982
Clear Sky,CNN,0.2138750000000016
Clear Sky,CNN,0.42540699999999987
Clear Sky,CNN,0.04595899999999986
Clear Sky,CNN,0.22895600000000016
Clear Sky,CNN,0.25490999999999886
Clear Sky,CNN,0.5523910000000001
Clear Sky,CNN,0.40162300000000073
Clear Sky,CNN,0.6135420000000025
Clear Sky,CNN,0.42845900000000015
Clear Sky,CNN,0.7762429999999974
Clear Sky,CNN,0.5346650000000004
Clear Sky,CNN,0.7029339999999991
Clear Sky,CNN,0.30896000000000257
Clear Sky,CNN,0.8449629999999981
Clear Sky,CNN,1.3680910000000015
Clear Sky,CNN,1.3978189999999984
Clear Sky,CNN,1.436027000000001
Clear Sky,CNN,1.4741610000000005
Clear Sky,CNN,1.5907689999999999
Clear Sky,CNN,1.5194864999999993
Clear Sky,CNN,1.5733224999999997
Clear Sky,CNN,1.2425707000000008
Clear Sky,CNN,1.3940901999999995
Clear Sky,CNN,0.7091110999999999
Clear Sky,CNN,0.9481678000000002
Clear Sky,CNN,0.70438243
Clear Sky,CNN,0.009698530000000039
Clear Sky,CNN,0.6269027
Clear Sky,CNN,1.0749449
Clear Sky,CNN,1.1144249
Clear Sky,CNN,1.071351
Clear Sky,CNN,1.0839322999999998
Clear Sky,CNN,1.4147536
Clear Sky,CNN,1.4599834000000005
Clear Sky,CNN,1.5828670000000002
Clear Sky,CNN,1.4231470000000002
Clear Sky,CNN,1.3884729999999994
Clear Sky,CNN,1.5608389999999996
Clear Sky,CNN,1.3626570000000005
Clear Sky,CNN,1.207949000000001
Clear Sky,CNN,1.2955739999999984
Clear Sky,CNN,0.9652209999999997
Clear Sky,CNN,0.926007000000002
Clear Sky,CNN,0.8605819999999973
Clear Sky,CNN,0.6625210000000017
Clear Sky,CNN,0.5366119999999981
Clear Sky,CNN,0.4725350000000006
Clear Sky,CNN,0.09421299999999988
Clear Sky,CNN,0.24036200000000107
Clear Sky,CNN,0.06699499999999858
Clear Sky,CNN,0.015283000000000158
Clear Sky,CNN,0.19641699999999673
Clear Sky,CNN,0.17696000000000112
Clear Sky,CNN,0.03950100000000134
Clear Sky,CNN,0.18728300000000075
Clear Sky,CNN,0.23596199999999712
Clear Sky,CNN,0.3611750000000029
Clear Sky,CNN,0.4726719999999993
Clear Sky,CNN,0.6633490000000002
Clear Sky,CNN,1.0293639999999975
Clear Sky,CNN,1.0613700000000001
Clear Sky,CNN,1.207415000000001
Clear Sky,CNN,0.9232030000000009
Clear Sky,CNN,1.5104249999999997
Clear Sky,CNN,1.6493780000000005
Clear Sky,CNN,1.657463
Clear Sky,CNN,1.7651240000000001
Clear Sky,CNN,1.6129309999999997
Clear Sky,CNN,1.5184499999999996
Clear Sky,CNN,1.3420537000000001
Clear Sky,CNN,1.4366053
Clear Sky,CNN,0.9844531999999999
Clear Sky,CNN,1.0562340999999997
Clear Sky,CNN,0.3391693
Clear Sky,CNN,0.0
Clear Sky,CNN,0.0
Clear Sky,CNN,0.6004326
Clear Sky,CNN,1.1018613
Clear Sky,CNN,1.0761811
Clear Sky,CNN,1.3836040000000005
Clear Sky,CNN,1.313758
Clear Sky,CNN,1.578398
Clear Sky,CNN,1.4367140000000003
Clear Sky,CNN,1.6644379999999988
Clear Sky,CNN,1.5452190000000012
Clear Sky,CNN,1.5104469999999992
Clear Sky,CNN,1.3118160000000003
Clear Sky,CNN,1.4058069999999994
Clear Sky,CNN,1.1800470000000018
Clear Sky,CNN,1.1028589999999987
Clear Sky,CNN,0.7673629999999996
Clear Sky,CNN,0.7773050000000019
Clear Sky,CNN,0.7490889999999979
Clear Sky,CNN,0.5144860000000016
Clear Sky,CNN,0.3367629999999977
Clear Sky,CNN,0.15420800000000057
Clear Sky,CNN,0.055170000000000385
Clear Sky,CNN,0.08881200000000078
Clear Sky,CNN,0.17476699999999923
Clear Sky,CNN,0.2883950000000013
Clear Sky,CNN,0.09896099999999919
Clear Sky,CNN,0.23780599999999907
Clear Sky,CNN,0.33376100000000264
Clear Sky,CNN,0.3957160000000002
Clear Sky,CNN,0.5864960000000004
Clear Sky,CNN,0.5371839999999999
Clear Sky,CNN,0.933602999999998
Clear Sky,CNN,0.8796280000000003
Clear Sky,CNN,0.8295610000000018
Clear Sky,CNN,0.9477209999999978
Clear Sky,CNN,1.218210000000001
Clear Sky,CNN,1.2681450000000005
Clear Sky,CNN,1.604507
Clear Sky,CNN,1.4571889999999996
Clear Sky,CNN,1.4896440000000002
Clear Sky,CNN,1.5003192999999992
Clear Sky,CNN,1.425891
Clear Sky,CNN,1.4573335000000003
Clear Sky,CNN,1.1716256
Clear Sky,CNN,1.0241141999999999
Clear Sky,CNN,0.85991804
Clear Sky,CNN,0.0
Clear Sky,CNN,0.62357014
Clear Sky,CNN,0.9166486600000001
Clear Sky,CNN,1.0431764
Clear Sky,CNN,1.0139111
Clear Sky,CNN,1.3424587000000003
Clear Sky,CNN,1.3967469999999995
Clear Sky,CNN,1.4231340000000001
Clear Sky,CNN,1.359655
Clear Sky,CNN,1.5783559999999994
Clear Sky,CNN,1.4545030000000008
Clear Sky,CNN,1.430738999999999
Clear Sky,CNN,1.270619
Clear Sky,CNN,1.3029400000000013
Clear Sky,CNN,1.1162969999999994
Clear Sky,CNN,1.0131990000000002
Clear Sky,CNN,0.8143530000000005
Clear Sky,CNN,0.727093
Clear Sky,CNN,0.7164499999999983
Clear Sky,CNN,0.4128380000000007
Clear Sky,CNN,0.22522500000000178
Clear Sky,CNN,0.10714199999999963
Clear Sky,CNN,0.0455849999999991
Clear Sky,CNN,0.06001499999999993
Clear Sky,CNN,0.1927449999999986
Clear Sky,CNN,0.2704490000000028
Clear Sky,CNN,0.1067179999999972
Clear Sky,CNN,0.18702299999999994
Clear Sky,CNN,0.3122820000000033
Clear Sky,CNN,0.3205609999999979
Clear Sky,CNN,0.4796849999999999
Clear Sky,CNN,0.4767870000000016
Clear Sky,CNN,0.8143770000000004
Clear Sky,CNN,0.8484359999999995
Clear Sky,CNN,0.7758469999999988
Clear Sky,CNN,0.9202349999999999
