Regime,Actual_Power_Fixed,Pred_Ridge,Pred_RandomForest,Pred_XGBoost,Pred_MLP,Pred_LSTM,Pred_CNN,Pred_PiT-Net(Proposed)
Clear Sky,0.1238656141333333,0.862830849489574,0.1834926284766817,0.44206944,0.55973136,0.609083,2.0271828,0.9921797412129012
Clear Sky,0.1562347894,0.0,0.3894284165716023,0.2579536,0.0,0.4438125,0.87979686,0.411831440154648
Clear Sky,0.1698103209999999,0.5762714542082338,0.2426525990833291,0.4190193,0.6859235,0.6220076,1.5172287,1.0529675841599384
Clear Sky,0.1837947631333333,0.9866694385567542,0.4855933353815869,0.59495914,1.1745918,0.73448426,1.6384397,0.903239568425325
Clear Sky,0.1869108457333333,0.4156531452095595,0.5254518102784163,0.3474514,1.3473916,0.46084598,1.4057766,0.809685706647383
Clear Sky,0.1938264319333333,0.9616620275216314,0.1993622278033086,0.42972538,0.62966806,1.1892188,1.1768571,1.0658510929833378
Clear Sky,0.1973072041333333,0.4869689266447823,0.2426525990833291,0.37124956,0.6074327,0.65532684,1.4799112,1.0651661956788114
Clear Sky,0.2115639009333333,0.708265893981844,0.1687630864568812,0.36515012,0.9765706,0.8281944,1.4393679,1.0262758361733144
Clear Sky,0.2197958216,0.5824617503773412,0.2426525990833291,0.43943843,1.4256942,0.53997314,0.3798153,1.0988908980060164
Clear Sky,0.2320428501333333,0.0696596476380354,0.2388035831177704,0.6080193,0.81786585,0.71571237,0.8814065,0.8749635373856384
Clear Sky,0.2396085482666666,0.898088590985632,0.2135072845717676,0.39836162,0.15015452,0.08071084,0.3747991,0.7289717375860095
Clear Sky,0.2412761291999999,0.909891716786734,0.1744123136531103,0.39204043,0.45905998,0.0,0.0,0.7370214082278865
Clear Sky,0.2457728435999999,1.111879096250334,0.1744123136531103,0.39417982,0.49431315,0.018622143,0.0,0.7536732358410041
Clear Sky,0.2606756168666666,0.6053659550293293,0.5033000410345524,0.4022489,1.0222625,0.8506297,1.7845703,0.8443460429907597
Clear Sky,0.2644001421999999,0.8063681528119273,0.1865736217608729,0.24060121,0.5892604,0.6692566,1.8340878,0.9069494553240568
Clear Sky,0.272064165,0.806055775368549,0.2426525990833291,0.38014546,2.1959398,0.7841039,0.8923636,1.0971670588548417
Clear Sky,0.2780723246666667,0.3602926541649294,0.1744123136531103,0.47207206,0.13947883,0.071529485,0.5333363,0.6656206616259716
Clear Sky,0.2997415445333333,0.1476635553129496,0.2816827679611773,0.59030044,0.7871079,0.5387009,0.0,0.7327648404775727
Clear Sky,0.3201519609333332,0.9012333313462766,0.1951901970258714,0.55617213,0.5647381,0.23228964,0.87604576,0.6828911606640189
Clear Sky,0.3226783068,0.8308575530507567,0.1744123136531103,0.39202765,0.6906101,0.014296192,0.0,0.7063437421225014
Clear Sky,0.3259310558,0.5014847359995264,0.1744123136531103,0.5380524,0.07642827,0.10843711,3.9749334,0.691569355494616
Clear Sky,0.3414479286666667,1.0788877655598224,0.1744123136531103,0.39284223,0.4506553,0.032079324,0.20319189,0.7411189981320178
Clear Sky,0.3448089003333333,0.0,0.4852597558842755,0.52839077,0.6293582,1.5536207,1.320544,0.8819040627880989
Clear Sky,0.3489960316666666,0.4857600184280712,0.2426525990833291,0.3800123,0.6028637,0.6594417,1.5314049,1.1159390202052586
Clear Sky,0.3521819717333334,0.1136856638121109,0.7038299730899424,0.37597534,0.37970632,0.6976743,1.2764187,0.9939296773581257
Clear Sky,0.3715160233333334,0.0,0.6788995651575817,0.7677447,0.6835141,0.65085435,0.80345094,0.9307550867853625
Clear Sky,0.3901808218666667,1.2835412802206787,0.3894284165716023,0.5214543,0.39130712,0.30624124,0.25934732,1.4478491332990997
Clear Sky,0.3937373557333333,1.4932982184775,0.3894284165716023,0.4742752,0.47579405,0.3084888,0.12705337,1.4601520152911456
Clear Sky,0.3951085106666667,1.2890837944774567,0.4439151339157128,0.47546571,0.17926075,0.35635623,0.7993462,1.469779945969785
Clear Sky,0.4190043319333333,0.7636540978223508,0.6617822448223866,0.78200096,1.3135078,0.8037892,1.2237201,1.0665170861236608
Clear Sky,0.4397818715333333,0.6531062605994857,0.3894284165716023,0.5093117,0.114806905,0.2765717,0.99570644,1.318611313478845
Clear Sky,0.443933965,0.7538947655876578,0.2034292739325228,0.45671722,0.22775535,0.18007007,1.2732614,0.6808776495140237
Clear Sky,0.4684724601333332,0.9091201008425588,0.2021535968056655,0.4933741,0.3942759,0.0,0.3700474,0.7960039338838847
Clear Sky,0.4695817482666666,1.2258970785662149,0.4192632197283321,0.66075015,0.46437725,0.46479815,1.2070794,1.3837573627200008
Clear Sky,0.4722548237999999,1.0227214826214053,0.3894284165716023,0.39419746,0.093714215,0.24112514,4.26561,1.3734587413419486
Clear Sky,0.4730712208,0.4756762329110779,0.4370905828924653,0.5669692,0.21120693,0.11958538,1.1827826,0.8370582415605531
Clear Sky,0.4860520064,1.200697573265772,0.3894284165716023,0.49668378,0.5222677,0.26130626,0.05608751,1.378150491021731
Clear Sky,0.504328194,0.8337644655879282,0.702670583509992,0.8901952,1.3893502,0.67163855,1.6330887,1.302446961208055
