Regime,Model,Absolute Error (kW)
Clear Sky,CNN,0.829327435
Clear Sky,CNN,1.0057527723333333
Clear Sky,CNN,1.2438730934
Clear Sky,CNN,1.055453838666667
Clear Sky,CNN,0.44305775173333295
Clear Sky,CNN,0.09307998920000005
Clear Sky,CNN,0.5270011100000005
Clear Sky,CNN,1.1326868194
Clear Sky,CNN,1.8210759444000004
Clear Sky,CNN,2.2311773040666685
Clear Sky,CNN,2.423901380666665
Clear Sky,CNN,2.5341992639999997
Clear Sky,CNN,2.633905453999999
Clear Sky,CNN,2.5378072913333334
Clear Sky,CNN,2.5133637859999993
Clear Sky,CNN,2.2057340053333334
Clear Sky,CNN,2.2324834126666673
Clear Sky,CNN,1.91410445
Clear Sky,CNN,1.792925782000001
Clear Sky,CNN,1.5752179066666656
Clear Sky,CNN,1.556879595333335
Clear Sky,CNN,1.4513757599999977
Clear Sky,CNN,0.7604901706666638
Clear Sky,CNN,1.0341034339999986
Clear Sky,CNN,1.529115018666669
Clear Sky,CNN,1.565378841333331
Clear Sky,CNN,1.4825517946666658
Clear Sky,CNN,1.3293364180000005
Clear Sky,CNN,1.3228420913333352
Clear Sky,CNN,1.5935036173333366
Clear Sky,CNN,1.997312432000001
Clear Sky,CNN,2.0896532679999993
Clear Sky,CNN,2.0530676240000005
Clear Sky,CNN,1.930637999333328
Clear Sky,CNN,1.802111440000001
Clear Sky,CNN,1.3677703706666655
Clear Sky,CNN,1.4477760153333286
Clear Sky,CNN,1.5201472613333316
Clear Sky,CNN,1.2857434066666613
Clear Sky,CNN,0.8298388933333314
Clear Sky,CNN,0.8643629226666683
Clear Sky,CNN,0.6669222506666657
Clear Sky,CNN,0.9711016633333323
Clear Sky,CNN,1.0088349359999995
Clear Sky,CNN,0.9291069586666687
Clear Sky,CNN,0.8029232799999999
Clear Sky,CNN,0.6382347377333346
Clear Sky,CNN,0.3521488474666663
Clear Sky,CNN,0.05212318400000093
Clear Sky,CNN,0.4601269970666664
Clear Sky,CNN,1.163134422866666
Clear Sky,CNN,1.4916436944000002
Clear Sky,CNN,1.9016205120666667
Clear Sky,CNN,1.9033171858666664
Clear Sky,CNN,0.09842506013333319
Clear Sky,CNN,0.0877160874666667
Clear Sky,CNN,0.2567486246666666
Clear Sky,CNN,0.3076305222666669
Clear Sky,CNN,0.06960095299999969
Clear Sky,CNN,0.4516427095333331
Clear Sky,CNN,0.609334001133333
Clear Sky,CNN,1.3884444892666652
Clear Sky,CNN,1.6161668941333343
Clear Sky,CNN,2.127810984
Clear Sky,CNN,1.9292822520000001
Clear Sky,CNN,1.7937286866666682
Clear Sky,CNN,1.1823046233333319
Clear Sky,CNN,1.2179994633333315
Clear Sky,CNN,1.532152294666668
Clear Sky,CNN,1.781365046666668
Clear Sky,CNN,1.9039248953333328
Clear Sky,CNN,0.9513813106666653
Clear Sky,CNN,0.7597146386666616
Clear Sky,CNN,0.6735418946666663
Clear Sky,CNN,1.138446872666666
Clear Sky,CNN,1.3237643179999985
Clear Sky,CNN,1.3700422893333304
Clear Sky,CNN,1.2727615773333305
Clear Sky,CNN,1.3432747006666688
Clear Sky,CNN,1.4011679426666674
Clear Sky,CNN,1.633481574000001
Clear Sky,CNN,1.926798212666668
Clear Sky,CNN,2.1012400293333293
Clear Sky,CNN,2.0899129526666655
Clear Sky,CNN,1.9896537486666688
Clear Sky,CNN,1.8375698246666659
Clear Sky,CNN,1.804081369333332
Clear Sky,CNN,1.851818469333331
Clear Sky,CNN,1.854273506000002
Clear Sky,CNN,1.7232123113333344
Clear Sky,CNN,1.9185390939999998
Clear Sky,CNN,1.8801333346666702
Clear Sky,CNN,1.8145373813333308
Clear Sky,CNN,1.5171417240000018
Clear Sky,CNN,1.6873381199999997
Clear Sky,CNN,1.7961044533333332
Clear Sky,CNN,2.001546268666667
Clear Sky,CNN,2.080865967333331
Clear Sky,CNN,1.9648087633333322
Clear Sky,CNN,1.821937325333332
Clear Sky,CNN,1.605915467600001
Clear Sky,CNN,1.326732869599999
Clear Sky,CNN,0.7532853729333331
Clear Sky,CNN,0.3392115396666666
Clear Sky,CNN,0.3308948031333334
Clear Sky,CNN,0.6248488414666671
Clear Sky,CNN,1.0441867602000001
Clear Sky,CNN,0.9830306680666668
Clear Sky,CNN,0.2412761291999999
Clear Sky,CNN,0.1308335018666667
Clear Sky,CNN,0.2844835926666667
Clear Sky,CNN,0.3492325877333333
Clear Sky,CNN,0.021540572466666408
Clear Sky,CNN,0.2947680272000004
Clear Sky,CNN,0.5804068681333323
Clear Sky,CNN,1.0019293829333327
Clear Sky,CNN,1.3918851807333326
Clear Sky,CNN,1.5293508393999993
Clear Sky,CNN,1.5092988680000001
Clear Sky,CNN,1.346421148000001
Clear Sky,CNN,1.314990694666669
Clear Sky,CNN,1.0449636160000004
Clear Sky,CNN,0.8028237560000022
Clear Sky,CNN,0.5033741633333335
Clear Sky,CNN,0.4606199966666651
Clear Sky,CNN,0.0020657180000007713
Clear Sky,CNN,0.0982345833333369
Clear Sky,CNN,0.2114169619999977
Clear Sky,CNN,0.14411689866667032
Clear Sky,CNN,0.22556708799999825
Clear Sky,CNN,0.2570682813333285
Clear Sky,CNN,0.1815661153333359
Clear Sky,CNN,0.0705751939999999
Clear Sky,CNN,0.04033192866666724
Clear Sky,CNN,0.09129973599999985
Clear Sky,CNN,0.04699274466666381
Clear Sky,CNN,0.17847870866666327
Clear Sky,CNN,0.4148734113333319
Clear Sky,CNN,0.4812199226666678
Clear Sky,CNN,0.34025902200000147
Clear Sky,CNN,0.15975450999999907
Clear Sky,CNN,0.007867305333334684
Clear Sky,CNN,0.02804577466666558
Clear Sky,CNN,0.11960489799999863
Clear Sky,CNN,0.06149574733333196
Clear Sky,CNN,0.22866765599999894
Clear Sky,CNN,0.35873992533333166
Clear Sky,CNN,0.0929927206666683
Clear Sky,CNN,0.21050365933333737
Clear Sky,CNN,0.49427268800000057
Clear Sky,CNN,0.7103325300000005
Clear Sky,CNN,0.8948070013333318
Clear Sky,CNN,0.8435124966666692
Clear Sky,CNN,0.5455239841333377
Clear Sky,CNN,0.5135629499333323
Clear Sky,CNN,0.3990251762666661
Clear Sky,CNN,0.09077451833333328
Clear Sky,CNN,0.16390166660000016
Clear Sky,CNN,0.6994054828
Clear Sky,CNN,0.925279928066667
Clear Sky,CNN,1.3654312152
Clear Sky,CNN,1.347418379
Clear Sky,CNN,0.2457728435999999
Clear Sky,CNN,0.2666839857333333
Clear Sky,CNN,0.1829558514666667
Clear Sky,CNN,0.2642823928666669
Clear Sky,CNN,0.07753918520000003
Clear Sky,CNN,0.2522064971333329
Clear Sky,CNN,0.45061653126666723
Clear Sky,CNN,0.8259480059999991
Clear Sky,CNN,1.2833005120000003
Clear Sky,CNN,1.4529077564000001
Clear Sky,CNN,1.4190920146666688
Clear Sky,CNN,1.3012988286666687
Clear Sky,CNN,1.2187450359999996
Clear Sky,CNN,0.8368067486666639
Clear Sky,CNN,0.6596122926666652
Clear Sky,CNN,0.32483858533333176
Clear Sky,CNN,0.19493898333332993
Clear Sky,CNN,0.31162084266667023
Clear Sky,CNN,0.5577663733333331
Clear Sky,CNN,0.7388152226666698
Clear Sky,CNN,0.8378170586666691
Clear Sky,CNN,0.7481866613333317
Clear Sky,CNN,0.7247318733333294
Clear Sky,CNN,0.5766079099999963
Clear Sky,CNN,0.42756291933333657
Clear Sky,CNN,0.3708345466666678
Clear Sky,CNN,0.26626327533332983
Clear Sky,CNN,0.2748914906666684
Clear Sky,CNN,0.14001303533333598
Clear Sky,CNN,0.193419561999999
