Regime,Ridge,RandomForest,XGBoost,MLP,LSTM,CNN,Transformer(Baseline),PiT-Net(Proposed)
Clear Sky,5.4717862408456,5.761292591552921,4.885354587780336,3.6845970432016646,6.2188017666987925,6.60700600761132,2.9487009650418963,4.339834701581928
Overcast,27.462262753460514,24.375755501706976,25.20941002290301,28.826438604499987,36.18376462471202,34.540095119007376,47.89528239348584,29.033597605633176
Partly Cloudy,21.629192143211554,24.98501437850622,22.42405201024513,27.10466713413454,21.519651946279126,24.571763448615986,31.60588194204007,21.515142238086426
