,Px_clearsky,sigma_cloud,I_F_PV
2019-04-12 09:30:00-07:00,14.791070623948126,0.3213503778511756,0.021725971433797314
2019-04-12 09:45:00-07:00,15.996008009783079,0.4359297528051873,0.02725240900970885
2019-04-12 10:00:00-07:00,17.12963356080449,0.0879252786038308,0.005132934005372933
2019-04-12 10:15:00-07:00,18.185839923463796,0.18631521874396068,0.010245070864369175
2019-04-12 10:30:00-07:00,19.159137502648978,0.2325849501817766,0.012139635729928813
2019-04-12 10:45:00-07:00,20.04460460173691,0.061355452343648635,0.0030609460033116367
2019-04-12 11:00:00-07:00,20.83785755076158,0.08193131455568001,0.00393184924870962
2019-04-12 11:15:00-07:00,21.53503346347788,0.2767267456462449,0.012850072702025598
2019-04-12 11:30:00-07:00,22.13278091052173,0.301438670271328,0.013619556958973315
2019-04-12 11:45:00-07:00,22.628255560117356,0.11899069268938042,0.005258500478450638
2019-04-12 12:00:00-07:00,23.019118757250034,0.0703941578538615,0.0030580735342742153
2019-04-12 12:15:00-07:00,23.303537649510513,0.27634336330742754,0.011858429714135359
2019-04-12 12:30:00-07:00,23.480185999430084,0.08694837076091275,0.003703052895876684
2019-04-12 12:45:00-07:00,23.548245072640547,0.48189430371885683,0.02046412810094049
2019-04-12 13:00:00-07:00,23.507404259478466,0.09517776929564405,0.00404884215394676
2019-04-12 13:15:00-07:00,23.35786130805334,0.11643033366291905,0.004984631603355574
2019-04-12 13:30:00-07:00,23.100322103582943,0.11002721773348052,0.004763016603842719
2019-04-12 13:45:00-07:00,22.736000032485254,0.2195016105595297,0.00965436357520695
2019-04-12 14:00:00-07:00,22.266615042799636,0.1136978990183985,0.005106204908103669
2019-04-12 14:15:00-07:00,21.69439265385453,0.13524541418605748,0.006234118481396062
2019-04-12 14:30:00-07:00,21.022063471631636,0.11636619920257908,0.005535431826643004
2019-04-12 14:45:00-07:00,20.25286399992949,0.15028552732255349,0.007420458031174094
2019-04-12 15:00:00-07:00,19.390539946870224,0.20580240294579408,0.01061354678671607
2019-04-12 15:15:00-07:00,18.439353898681468,0.16294246044547342,0.008836668645810028
2019-04-12 15:30:00-07:00,17.40410001354174,0.0822537784562362,0.004726115018428783
2019-04-12 15:45:00-07:00,16.29012985143977,0.13568553057290378,0.008329309330883664
2019-04-12 16:00:00-07:00,15.103395908168494,0.09475948052260046,0.0062740512861316775
2019-04-12 16:15:00-07:00,13.850523206684633,0.05872210786982612,0.004239703222293095
2019-04-12 16:30:00-07:00,12.538926222067877,0.055509605538454,0.004426982387117
2019-04-12 16:45:00-07:00,11.177000885890712,0.03496304549684361,0.0031281240695774856
2019-04-12 17:00:00-07:00,9.757856704138113,0.08455730225282812,0.008665560974775234
2019-04-12 17:15:00-07:00,8.327542570794247,0.04665580802975225,0.005602590155873849
2019-04-12 17:30:00-07:00,6.882620085845574,0.05639972008874635,0.008194513046671714
2019-04-12 17:45:00-07:00,5.442038020832637,0.09090595420000969,0.016704395274713825
2019-04-12 18:00:00-07:00,4.032710231748175,0.10550423097198022,0.026162115527513186
2019-04-12 18:15:00-07:00,2.696323875858211,0.12054219850421971,0.04470612732524665
2019-04-12 18:30:00-07:00,1.503256153345522,0.21775550746254388,0.1448558896485641
2019-04-12 18:45:00-07:00,0.5770296539612658,0.2745188307483629,0.475744753954691
2019-04-13 06:45:00-07:00,0.4496233108697348,0.1869700062186292,0.4158369944319864
2019-04-13 07:00:00-07:00,1.308732663872179,0.23365782517403816,0.17853747493602634
2019-04-13 07:15:00-07:00,2.465418597313419,0.2826857085138149,0.11466032941499638
2019-04-13 07:30:00-07:00,3.7836608517161054,0.17085070283587928,0.045154867080221726
2019-04-13 07:45:00-07:00,5.185303424227781,0.06151517089742497,0.011863369578335926
2019-04-13 08:00:00-07:00,6.624681277025437,0.02785431459875477,0.004204627126040651
2019-04-13 08:15:00-07:00,8.072804776333168,0.053635210687062215,0.006643937537583365
2019-04-13 08:30:00-07:00,9.509576286121632,0.18486058642364236,0.01943941358285644
2019-04-13 08:45:00-07:00,10.919945243651116,0.09952732083581284,0.009114269221604228
2019-04-13 09:00:00-07:00,12.291924012213599,0.09261660293136408,0.00753475231699591
2019-04-13 09:15:00-07:00,13.615514372227148,0.07919673641844581,0.005816654020797839
2019-04-13 09:30:00-07:00,14.88210200628445,0.04876341680199073,0.0032766484721982684
2019-04-13 09:45:00-07:00,16.084103219775148,0.0727452541731138,0.0045228044845966086
2019-04-13 10:00:00-07:00,17.21475347008304,0.3956476036010235,0.02298305370963381
2019-04-13 10:15:00-07:00,18.26797875686935,0.1038881569920312,0.005686899375934838
2019-04-13 10:30:00-07:00,19.238316890785526,0.12847952016221573,0.006678313954988072
2019-04-13 10:45:00-07:00,20.120869448347186,0.5129071205808281,0.025491300060244686
2019-04-13 11:00:00-07:00,20.911273048214657,0.3932997085699958,0.018808023197017867
2019-04-13 11:15:00-07:00,21.605682846073353,1.2933032238428885,0.059859400559419726
2019-04-13 11:30:00-07:00,22.200763687383287,1.2794169169857248,0.05762941018613781
2019-04-13 11:45:00-07:00,22.693686060972528,0.6669785054240669,0.02939048789306658
2019-04-13 12:00:00-07:00,23.08212488020775,1.2648035262819828,0.05479580120314291
2019-04-13 12:15:00-07:00,23.36425973557874,4.686030926422001,0.20056406577633545
2019-04-13 12:30:00-07:00,23.53877577985607,7.202474232757927,0.30598338248846546
2019-04-13 12:45:00-07:00,23.604864650101653,5.773682487556291,0.24459714440817296
2019-04-13 13:00:00-07:00,23.562225098518635,3.0326323843941694,0.1287073853048298
2019-04-13 13:15:00-07:00,23.4110632217189,2.2696881836238854,0.09694938508893741
2019-04-13 13:30:00-07:00,23.152092229438814,1.9428407732939883,0.08391642336426028
2019-04-13 13:45:00-07:00,22.78653178920149,1.7920386565525985,0.07864464294657791
2019-04-13 14:00:00-07:00,22.316107051516443,1.358572584498229,0.06087856548465115
2019-04-13 14:15:00-07:00,21.743047602158335,0.6651884081290943,0.030593154202682427
2019-04-13 14:30:00-07:00,21.07008689255672,0.4290738347688811,0.020364122699487158
2019-04-13 14:45:00-07:00,20.30046293070877,0.7893974842092604,0.038885688809348715
2019-04-13 15:00:00-07:00,19.43792141734831,1.1640458038283203,0.059885302488640144
2019-04-13 15:15:00-07:00,18.486723172728908,0.4325220388483665,0.02339636044782727
2019-04-13 15:30:00-07:00,17.45165846501682,1.01278721931818,0.05803386660060929
2019-04-13 15:45:00-07:00,16.33807228239902,2.2498373002479592,0.13770518708450724
2019-04-13 16:00:00-07:00,15.151906994016395,1.334299469210363,0.08806148755646982
2019-04-13 16:15:00-07:00,13.89977253679014,2.7481628739328334,0.1977127946992623
2019-04-13 16:30:00-07:00,12.589061014239666,0.993090629668659,0.07888520268075276
2019-04-13 16:45:00-07:00,11.228134722895227,3.722710847444017,0.33155202883815227
2019-04-13 17:00:00-07:00,9.810037324429164,1.2149323893167185,0.12384584779216569
2019-04-13 17:15:00-07:00,8.380754772524451,1.0257994518957214,0.1223994114776765
2019-04-13 17:30:00-07:00,6.9367008314671725,1.7315310499210266,0.24961881620528137
2019-04-13 17:45:00-07:00,5.496576088909249,2.6433875811764582,0.48091530771495555
2019-04-13 18:00:00-07:00,4.086828528997652,1.4391593057650363,0.3521457520308563
2019-04-13 18:15:00-07:00,2.748217945528915,0.672882038595329,0.2448430408112439
2019-04-13 18:30:00-07:00,1.5492114023567949,0.3257240275652735,0.2102515041328471
2019-04-13 18:45:00-07:00,0.6098191176561927,0.4585302997061055,0.7519119791921943
2019-04-14 06:45:00-07:00,0.5015055790135218,0.1779830727855563,0.35489749313587887
2019-04-14 07:00:00-07:00,1.3880187146667842,0.2425123714858944,0.17471837297533366
2019-04-14 07:15:00-07:00,2.5586199449767357,0.19266467699492165,0.07530023260124061
2019-04-14 07:30:00-07:00,3.8832338202938255,0.3065583388247015,0.07894408449540793
2019-04-14 07:45:00-07:00,5.28729960559433,0.15649230239166645,0.02959777467993051
2019-04-14 08:00:00-07:00,6.726940101481989,0.864630694527481,0.12853253953264682
2019-04-14 08:15:00-07:00,8.174073538909205,0.4970665586181916,0.060810140287106226
2019-04-14 08:30:00-07:00,9.609090873437195,0.1897125641099029,0.019743029450822777
2019-04-14 08:45:00-07:00,11.01722158912274,3.139974413717043,0.2850060142946682
