P_st_pu,I_F_PV
0.015518336619404816,0.07249687612507232
0.046087470687781754,0.020622721095680724
0.08614893007656568,0.04497349482784947
0.13024694201946743,0.04432078535598096
0.1755007493696457,0.05872723751520848
0.2203391505253228,0.03448895611856514
0.2638175301377477,0.031872102727514555
0.3053100207089031,0.013231402707076437
0.34436681064732216,0.0029053918480937153
0.3806439875147241,0.011416988175086103
0.4138669822950656,0.01534606893591429
0.44381054386732244,0.004325276208750934
0.47028730735356356,0.008362308772205035
0.49314104964816646,0.008246954243917458
0.5122426120324078,0.011332074688059553
0.5274873925965339,0.009994818138653463
0.5387937894356682,0.003756031691167095
0.546102238200828,0.00657384491908016
0.5493746316397187,0.009593691674755525
0.5485939968710318,0.011428542413179582
0.5437643637468228,0.02221515947230986
0.5349107958839038,0.008780238877745391
0.5220795913312016,0.008164555960726136
0.5053386946891759,0.0011799759287044276
0.48477840648377796,0.005409419068715443
0.46051254405023045,0.010124969754120588
0.4326803118723056,0.0066784240257089615
0.4014493212626855,0.036856197272187224
0.36702052916924083,0.02019766268193182
0.32963647568020693,0.0165209075506027
0.2895954107823988,0.09109550955762953
0.24727641206330273,0.10432835337349969
0.20318607771863897,0.045828179930626316
0.15805009631618944,0.0873348805055341
0.11300390139096614,0.34246137116366615
0.06985913501832472,0.05047489942523904
0.03267547898482426,0.19881925073293275
0.015214190038007532,0.07642537161967061
0.04562610390471876,0.014658909151450373
0.08564248330240612,0.04460409845501193
0.12976070573719276,0.0318463248608418
0.17507155020845985,0.006160567449034785
0.21998958173493108,0.003209662467630652
0.2635627066080222,0.0030929420345678846
0.30516075793798436,0.002957945434893609
0.344331204525896,0.0006758223907755706
0.380728248357437,0.0011416446996837843
0.4140759000264362,0.0011990156174673556
0.4441477602026557,0.0005680862983252626
0.47075548189612987,0.0013674050937881866
0.4937419651676514,0.0008810593086887808
0.5129772436909307,0.0008576029048870183
0.528355955134434,0.0007085236010969905
0.5397957704965641,0.0017377231252389113
0.5472364226116064,0.0027476531394214246
0.5506391193979416,0.0009272656078373381
0.5499862162183083,0.001407977471371625
0.5452810796651193,0.00013363766240945892
0.5365481133898399,0.002814409827389454
0.5238329518485609,0.0023681375879632378
0.5072028623238654,0.0014445236040552696
0.48674743885118965,0.0014124776286607364
0.46257973870951075,0.0015918466569275632
0.4348381133901113,0.0015686023548168726
0.40368916311200903,0.0026408141218052703
0.36933256462833974,0.0025980950868931068
0.33200911314466836,0.0026257566178635814
0.2920144901746311,0.002677374702240963
0.2497236908274158,0.0013971242934565748
0.2056363148442145,0.002568349723898388
0.1604651152518982,0.0025756906848176065
0.11531975992351859,0.004659612869052674
0.07195432930707586,0.028555557190704368
0.034319087686864994,0.1619263727118185
0.014961640597956285,0.05490318179964565
0.045246787320243766,0.03139755305286285
0.0852355728889282,0.06591223552864263
0.12938432692678806,0.04293177542633454
0.1747587863586182,0.01092276607497958
0.2197609273122487,0.0028356344315509014
0.2634319899950678,0.0030186198667073293
0.30513793464597466,0.004700092174314733
0.34442374849691076,0.0019205624044750162
0.38094188829111547,0.010184981540194905
0.41441503108503186,0.006017821614623265
0.4446156855429322,0.0017136724381082347
0.4713545605119342,0.010429974936307542
0.4944737059799814,0.03674520103389621
0.5138423677344226,0.05410121197525349
0.5293544382524719,0.0071376122232657485
0.5409268737589669,0.006693384300988756
0.5484987146920465,0.008409331542466574
0.5520304933081422,0.011341457177139566
0.5515039015256864,0.0025113520845300107
0.5469216503672947,0.014696788779968216
0.5383074906924072,0.07973546890409461
0.5257064000239887,0.10366849274687669
0.5091849743898066,0.030961479869849273
0.48883210661086374,0.05292311428480209
0.46476009812546903,0.024270954508543142
0.4371064501913304,0.1389507677670942
0.4060367527447363,0.07060652208085993
0.3717494006900311,0.07964658700485937
0.3344834398673876,0.26789333690410505
0.29453197657089303,0.12068744768970804
0.2522659179483205,0.14537631096755327
0.20817787379188288,0.12732047810596292
0.16296772400538054,0.12064389554247279
0.11771960422365271,0.19806827211544278
0.07413064598283764,0.22855913642553222
0.03604288549053799,0.4494575589996406
0.014759816929429173,0.25654297419005
0.044949451994707686,0.1372076984844721
0.08492857991939828,0.07472190902130266
0.12911836400385562,0.04517613670136021
0.1745630536131575,0.026917807749612326
0.21965374728284995,0.06285228485792213
0.26342586333508966,0.08530631049610295
0.30524193179466164,0.1399111820770519
0.3446447052243904,0.01828799018377174
0.3812850406952759,0.041160125687327055
0.4148843719562583,0.03821353542615108
0.4452141742248162,0.01807073288659819
0.47208425190382497,0.020595172837352373
0.4953358330878213,0.04046705481260945
0.5148373966051588,0.04159067480839607
0.530482106036026,0.062391845222290014
0.5421862161317877,0.02369239443417795
0.5498880862830197,0.06622385189923662
0.553547583142448,0.04019775481694201
0.5531457443732128,0.01085726685263116
0.5486846339927025,0.0571194727704035
0.540187358135415,0.12249660511911904
0.5276982449855925,0.016289984761826536
0.5112832263843986,0.012995562317846357
0.4910305003359929,0.006094172003193224
0.4670516179558165,0.0014649664657369265
0.43948323462773564,0.0015653995318868801
0.40848993289382124,0.004291534702341609
0.37426882698310426,0.006740625327225143
0.3370572130051014,0.00049927827274944
0.2971456215598731,0.0035318375335044467
0.25490087652638665,0.00831476469464133
0.21080862359919836,0.0030672650481841208
0.16555596315176865,0.0009413378246804842
0.12020179123410518,0.010645835620572794
0.07638702769844435,0.027009033128527482
0.03784698315594005,0.07614875321100187
0.010587200546409799,0.9348856521562244
0.014608048863397288,0.026115692968265682
0.0447341200125658,0.024886614279786348
0.08472190499576374,0.008330355906238499
0.12896335581820137,0.006590502185923538
0.17448490579055395,0.00717161962793168
0.21966854586857226,0.013746686598088857
0.2635447447465929,0.0235960549062481
0.3054730591464505,0.024405250359590732
0.3449942616713869,0.10489839634369165
0.38175775998850076,0.025551537125727254
0.41548383782272236,0.12492711261027173
0.4459429976550236,0.16651872223776945
0.4729441808193637,0.15468460560482478
0.4963278230203258,0.06698137870008881
0.5159616581990467,0.023865889400079363
0.5317381383560705,0.03420390785451311
0.5435728310172757,0.013600156511417771
0.5514034267719666,0.019018290235923906
0.5551891375964004,0.009620030641594984
0.5549103569407574,0.005548254977616794
0.5505685112397454,0.004036265045685374
0.5421860708454189,0.009659323037872534
0.5298067231149409,0.011233362384521767
0.5134957437453537,0.009034682108443574
0.49334064341824124,0.03828640537989999
0.4694522297140818,0.045027383404553256
0.44196631805467484,0.02245322391400043
0.41104648847319114,0.07616521666030633
0.376888578419669,0.10470620365637193
0.33972813781834565,0.05756348451577578
0.29985312708290734,0.13958632610439412
0.25762630107098733,0.21362219366903898
0.2135263833450633,0.6253309690721234
0.16822781693045774,0.32550830478555215
0.12276460434693123,0.406968899308115
0.07872230227130919,0.6669117060843109
0.039731285395185285,0.18606020859382916
0.011633990998361326,0.10914432708598487
0.014505873814883146,0.027937109394673677
0.04460090483425394,0.026664910230024715
0.08461596303629862,0.01544447801299966
0.1289198138280662,0.03410833554594419
0.17452484588450812,0.029119264734692875
0.21980576240993438,0.02236823552726771
0.2637889785552297,0.021902317103185916
0.3058315468026956,0.00918156756555079
0.34547252124396033,0.0024654964556058826
0.38236001449357865,0.006107703130047211
0.41621325623217115,0.030497575385697563
0.4468018388539589,0.006283245968440908
0.4739338834819184,0.018991225352901
0.49744906418109003,0.003742179324838961
0.5172143931492715,0.013488853701468758
0.5331216291043457,0.009921134744106865
0.5450856675024341,0.007566496434667622
0.553043543240267,0.0024921002217190287
0.5569538253851912,0.007427217602454036
0.5567962740455356,0.002680947499892876
0.5525716883277116,0.005197996517420593
0.5443019125923351,0.0010492367813212146
0.5320300027643033,0.006066678715306437
0.5158205873988096,0.00817161620439751
