P_st_pu,I_F_PV
0.010563749866973261,0.7606931426691836
0.03486164572480075,0.2511336126926232
0.06799214294993502,0.15174816903264027
0.10498461187284738,0.11890509748747594
0.1431908291282841,0.09539388710879344
0.1811817247324121,0.05284310882587778
0.21810932455637835,0.032790663374597594
0.25341837323006017,0.017916248397863568
0.2867135501854825,0.015955232231649342
0.31769468873096035,0.005164436280291327
0.3461232506176134,0.0066103579372973125
0.37180407056138104,0.010011007186514279
0.39457498711260713,0.010907424263016488
0.4143007431364512,0.00450158961308446
0.43086931064170275,0.0026002058339785615
0.44418963602858047,0.0016541786913866008
0.45419023781001766,0.005361676469886931
0.46081834028768814,0.005764483960689619
0.4640393486756647,0.006705966699155446
0.46383655073781477,0.0072271145807856025
0.46021098677884514,0.009257971775989738
0.45318145750118277,0.005641364446460153
0.4427846730775174,0.003737381721497024
0.42907557456803214,0.0017795667248010694
0.4121278918605457,0.0034661159243594003
0.39203506388064957,0.001749004894649306
0.36891172076981654,0.002087635598514017
0.34289607111076453,0.008243651729579207
0.3141538039710887,0.013996069258268632
0.2828845727499813,0.019892359073867057
0.24933306217888113,0.029670930090713764
0.21380856652366473,0.04190700304599989
0.1767211335191347,0.051512516472272334
0.138651879216982,0.07290399582630903
0.10049816488672177,0.11503882967049506
0.06365690880252291,0.2102998082227019
0.03129988946514461,0.46777492366347806
0.010332383774732971,0.688510795845046
0.03448268241632005,0.22421590261643543
0.067565123589584,0.13313069869583516
0.10456918165591429,0.102493693377459
0.1428203744797138,0.08189917385854124
0.18087648615042423,0.04542087916965236
0.21788270525540518,0.02811818091125801
0.2532798932610689,0.015302940101366163
0.2866703031493153,0.013537765153082753
0.3177521051166417,0.004303238179420042
0.34628552075116686,0.0053186114554811875
0.3720743906488576,0.007964448750823782
0.3949557086310339,0.008558619253298313
0.4147934670601861,0.0030647335786076306
0.43147494911092515,0.0013213456879097424
0.4449084541987056,0.0007066830459458261
0.4550218832639883,0.004613152708069846
0.46176186439186107,0.005394704404142055
0.4650932224004179,0.006511087770284129
0.46499867621758734,0.0071656443771058904
0.4614787050172061,0.009463719036628099
