P_phys_line,I_F_line
0.02,0.5086970340850124
0.02039705811937643,0.5019442488518794
0.020801998996261,0.49527640961718916
0.021214979126297287,0.4886924176530339
0.02163615811202218,0.482191188250796
0.02206569872454671,0.47577165054142784
0.022503766966461478,0.4694327473180418
0.02295053213599091,0.46317343486078183
0.02340616689242115,0.45699268276394794
0.023870847322826932,0.45088947376534577
0.024344753010123107,0.44486280357783176
0.024828067102467266,0.43891168072302583
0.02532097638404014,0.4330351263671677
0.025823671347231236,0.42723217415908393
0.026336346266257568,0.4215018700702454
0.0268591992722439,0.41584327223688283
0.027392432429793598,0.41025545080413994
0.027936251815079586,0.4047374877722346
0.028490867595485678,0.39928847684460367
0.029056494110828997,0.39390752327800876
0.0296333499561949,0.3885937437345746
0.03022165806641642,0.38334626613573947
0.03082164580223086,0.37816422951809026
0.03143354503814687,0.3730467838910621
0.032057592252055914,0.36799309009647563
0.0326940286166228,0.36300231966989244
0.03334310009249057,0.358073654703763
0.03400505752333579,0.35320628771234697
0.03468015673281094,0.3483994214983824
0.035368658623411445,0.3436522690214826
0.03607082927730536,0.3389640532682403
0.036786940059165135,0.3343340071240147
0.037517267721040394,0.329761373246386
0.03826209450931333,0.3252454039402502
0.039021708273776864,0.3207853610345412
0.03979640257887896,0.31638051576055193
0.04058647681717479,0.3120301486318444
0.04139223632503193,0.30773354932571967
0.04221399250063201,0.3034900165662368
0.04305206292431561,0.29929885800875533
0.04390677148131581,0.2951593901259889
0.04477844848692893,0.2910709380955451
0.04566743081416965,0.28703283568894045
0.04657406202396102,0.28304442516206735
0.04749869249790877,0.27910505714709744
0.048441679573711725,0.27521409054580526
0.0494033876832604,0.2713708924242946
0.0503841884934774,0.2675748379091089
0.05138446104995379,0.2638253100847129
0.05240459192343709,0.26012169989232625
0.05344497535922755,0.2564634060300948
0.05450601342954027,0.2528498348545842
0.055588116188892256,0.24928040028357867
0.05669170183257426,0.24575452370017253
0.05781719685826882,0.24227163385813666
0.05896503623087687,0.23883116678854793
0.06013566355061662,0.23543256570766585
0.061329531224459694,0.23207528092604215
0.0625471006409708,0.22875876975885107
0.0637888423486184,0.22548249643742477
0.0650552362376255,0.22224593202198212
0.06634677172543055,0.21904855431553708
0.06766394794583039,0.21588984777897424
0.06900727394187818,0.2127693034472788
0.07037726886261099,0.20968641884690864
0.07177446216368288,0.20664069791429704
0.0731993938119812,0.20363165091547383
0.0746526144943052,0.2006587943667935
0.07613468583018733,0.1977216509567592
0.0776461805889398,0.19481974946893246
0.07918768291101015,0.19195262470591648
0.0807597885337313,0.18911981741440395
0.08236310502155336,0.18632087421127874
0.08399825200084643,0.183555347510762
0.0856658613993646,0.18082279545259294
0.08736657769046428,0.17812278183123498
0.0891010581421708,0.17545487602609888
0.09086997307118981,0.17281865293277401
0.09267400610196148,0.17021369289525917
0.09451385443085772,0.1676395816391858
0.09639022909562442,0.165095910206025
0.098303855250173,0.16258227488827234
0.10025547244482735,0.16009827716560196
0.10224583491213428,0.15764352364198525
0.10427571185834852,0.15521762598376604
0.10634588776070425,0.15282020085868814
0.10845716267058834,0.15045086987586861
0.11061035252273271,0.1481092595267125
0.11280628945054472,0.14579500112676416
0.11504582210769805,0.14350773075849096
0.11732981599610794,0.1412470892149959
0.11965915380041779,0.1390127219446556
0.12203473572912624,0.1368042789966814
0.12445747986248655,0.1346214149676009
0.12692832250731298,0.13246378894865846
0.12944821855883093,0.13033106447413348
0.13201814186971084,0.12822290947057635
0.13463908562642876,0.12613899620696123
0.13731206273309834,0.12407900124575753
0.14003810620292345,0.12204260539492062
0.14281826955742194,0.12002949366080444
0.14565362723357522,0.11803935520199871
0.14854527499906117,0.11607188328409455
0.15149433037573026,0.11412677523538323
0.1545019330714892,0.11220373240349271
0.15756924542075862,0.11030246011297011
0.16069745283367512,0.10842266762381544
0.16388776425421117,0.10656406809097708
0.1671414126273904,0.10472637852481724
0.17045965537577798,0.10290931975255925
0.173843774885431,0.1011126163807288
0.17729507900149646,0.09933599675860212
0.180814901533648,0.0975791929426774
0.1844046027715572,0.09584194066218533
0.18806557001059881,0.09412397928565762
0.19179921808799205,0.09242505178857421
0.19560698992958644,0.09074490472211102
0.1994903571075027,0.08908328818301348
0.2034508204088446,0.08743995578462209
0.20748991041570097,0.08581466462908033
0.21160918809666307,0.0842071752807563
0.21581024541008478,0.08261725174091387
0.22009470591931948,0.08104466142367146
0.22446422542017114,0.07948917513329054
0.22892049258080213,0.07795056704283929
0.2334652295943451,0.07642861467428147
0.23810019284447095,0.074923098880045
0.2428271735841705,0.073433803826129
0.24764799862801173,0.07196051697681449
0.2525645310581405,0.07050302908104908
0.2575786709442972,0.06906113416058254
0.26269235607812835,0.0676346294999376
0.2679075627220756,0.06622331563830772
0.2732263063731331,0.06482699636348231
0.27865064254176736,0.06344547870790934
0.2841826675463007,0.06207857294701592
0.2898245193230663,0.06072609259991831
0.295578378252646,0.059387854432666656
0.3014464680025125,0.058063678464182984
0.3074310563863998,0.056753387975067474
0.3135344562407344,0.05545680951946506
0.3197590263184673,0.05417377294020434
0.3261071722006497,0.0529041113874429
0.3325813472261075,0.05164766134107687
0.33918405343957136,0.05040426263720117
0.3459178425586309,0.0491737584989369
0.352785316959885,0.04795599557197752
0.3597891306846705,0.04675082396524517
0.3669319904647573,0.04555809729709228
0.3742166567684066,0.04437767274753449
0.3816459448671965,0.043209411117058706
0.38922272592402696,0.04205317689261421
0.39694992810272506,0.04090883832147114
0.4048305376996789,0.039776267493714636
0.41286760029793806,0.03865534043424234
0.421064221944226,0.03754593720524568
0.4294235703493197,0.036447942020286145
0.43794887611226035,0.0353612433712298
0.4466434339688681,0.03428573416947937
0.4555106040650435,0.03322131190314901
0.4645538132553479,0.03216787881206822
0.47377655642736405,0.031125342082784477
0.4831823978523485,0.030093614066068745
0.4927749725627009,0.029072612519823942
0.5025579877567767,0.028062260880768828
0.5125352242315921,0.027062488568833025
0.5227105378439708,0.026073231328876696
0.5330878610006993,0.0250944316151666
0.5436712041782663,0.024126039025033158
