X_Curve,Y_Normal_Fit
-0.3846589917313956,1.3301608644511655e-07
-0.3795598966202583,2.0738845814704876e-07
-0.374460801509121,3.2151491928146447e-07
-0.3693617063979837,4.956256892203571e-07
-0.3642626112868464,7.597008592421207e-07
-0.3591635161757091,1.157890677591207e-06
-0.35406442106457175,1.7548040491143822e-06
-0.34896532595343444,2.644391966176571e-06
-0.34386623084229717,3.962407719424118e-06
-0.33876713573115985,5.903759042442414e-06
-0.33366804062002253,8.746498323376227e-06
-0.3285689455088852,1.2884748367605504e-05
-0.32346985039774795,1.8873558707528386e-05
-0.31837075528661063,2.748955958860205e-05
-0.3132716601754733,3.9812357798557707e-05
-0.308172565064336,5.733293114487189e-05
-0.3030734699531987,8.209685561217114e-05
-0.2979743748420614,0.00011689206535071921
-0.2928752797309241,0.0001654930163138814
-0.28777618461978677,0.00023297560152171228
-0.28267708950864945,0.00032611993161898724
-0.2775779943975122,0.0004539211034620332
-0.27247889928637486,0.0006282312513362686
-0.26737980417523755,0.0008645593852610229
-0.2622807090641002,0.0011830585907109932
-0.2571816139529629,0.0016097328545867536
-0.25208251884182564,0.002177897785954611
-0.24698342373068832,0.0029299304376442133
-0.241884328619551,0.003919342855532022
-0.2367852335084137,0.00521321137041973
-0.2316861383972764,0.006894988435604664
-0.2265870432861391,0.009067715405583519
-0.22148794817500178,0.011857642456052335
-0.21638885306386446,0.015418245318706954
-0.21128975795272717,0.019934607205386992
-0.20619066284158985,0.025628107951541464
-0.20109156773045256,0.032761330985703614
-0.19599247261931524,0.04164306251339655
-0.19089337750817795,0.05263321696697291
-0.18579428239704063,0.06614747945433745
-0.18069518728590334,0.08266141128962184
-0.17559609217476602,0.1027137208996196
-0.1704969970636287,0.12690836219956184
-0.1653979019524914,0.15591508913828578
-0.16029880684135409,0.1904680721361102
-0.1551997117302168,0.23136217343035154
-0.15010061661907947,0.2794464877895977
-0.14500152150794218,0.3356147863203217
-0.13990242639680486,0.40079255730245505
-0.13480333128566754,0.47592042142835606
-0.12970423617453025,0.561933810554907
-0.12460514106339293,0.6597389386568806
-0.11950604595225561,0.7701852588303474
-0.11440695084111835,0.8940347866682783
-0.10930785572998103,1.0319288717452424
-0.10420876061884371,1.1843532068744789
-0.09910966550770639,1.3516020689527795
-0.09401057039656907,1.5337429738163215
-0.0889114752854318,1.7305830878823103
-0.08381238017429449,1.9416388584905782
-0.07871328506315717,2.1661103904069634
-0.07361418995201985,2.402862097005407
-0.06851509484088258,2.6504110827057326
-0.06341599972974526,2.906924563078314
-0.058316904618607945,3.170227399425156
-0.053217809507470626,3.437820518974545
-0.048118714396333306,3.706910618315752
-0.04301961928519604,3.974451119430983
-0.03792052417405872,4.237193882214561
-0.0328214290629214,4.491750696030273
-0.027722333951784084,4.734663099692938
-0.02262323884064682,4.962478639711144
-0.0175241437295095,5.171831296008969
-0.012425048618372181,5.359523506216158
-0.007325953507234861,5.522607024177611
-0.002226858396097542,5.658459770947357
0.002872236715039722,5.76485588650968
0.007971331826177042,5.840026370207996
0.013070426937314361,5.882708002424314
0.01816952204845168,5.892178657235729
0.023268617159588945,5.868277626673969
0.028367712270726264,5.81141015725705
0.033466807381863584,5.722536019847947
0.0385659024930009,5.603142563339197
0.04366499760413822,5.4552033093206775
0.04876409271527549,5.28112369832235
0.053863187826412806,5.083676071265415
0.058962282937550126,4.865926340130216
0.06406137804868745,4.631155053452662
0.06916047315982476,4.382775685995926
0.07425956827096203,4.124252976070006
0.07935866338209935,3.8590240039576176
0.08445775849323667,3.590424462809875
0.08955685360437399,3.3216222368230346
0.09465594871551125,3.055559992344408
0.09975504382664857,2.794908030302213
0.10485413893778589,2.5420281685762305
0.10995323404892321,2.2989489456384087
0.11505232916006053,2.0673519850113253
0.12015142427119785,1.8485689536233507
0.1252505193823351,1.643588201671023
0.13034961449347238,1.453069898136749
0.13544870960460975,1.2773682807621933
0.14054780471574702,1.1165595233764403
0.1456468998268844,0.9704736839912818
0.15074599493802165,0.8387292272561199
0.15584509004915892,0.720768705058945
0.1609441851602963,0.6158943176141314
0.16604328027143356,0.5233022515554813
0.17114237538257093,0.4421148884096023
0.1762414704937082,0.371410183979178
0.18134056560484546,0.31024772543338536
0.18643966071598284,0.25769116876610354
0.1915387558271201,0.21282693718752077
0.19663785093825747,0.17477921550333073
0.20173694604939474,0.14272140322646248
0.206836041160532,0.11588428861036079
0.21193513627166938,0.09356127723483966
0.21703423138280664,0.07511105384968132
0.2221333264939439,0.05995807757603932
0.22723242160508128,0.04759131168339244
0.23233151671621854,0.0375615737940598
0.23743061182735592,0.02947786441824368
0.24252970693849318,0.02300299495936027
0.24762880204963045,0.017848794207521845
0.2527278971607678,0.013771127873175783
0.2578269922719051,0.010564921402361952
0.26292608738304246,0.008059334115770478
0.2680251824941797,0.006113194048746298
0.273124277605317,0.004610768668604809
0.27822337271645436,0.003457917406505931
0.28332246782759163,0.0025786478007563786
0.288421562938729,0.0019120778604073733
0.29352065804986627,0.0014097926680029683
0.29861975316100353,0.0010335727554638863
0.3037188482721409,0.0007534648367261956
0.30881794338327817,0.0005461614665733022
0.31391703849441555,0.0003936545301724693
0.3190161336055528,0.00028212760494529066
