P_phys,I_F
0.16344530909402527,0.06943504985894113
0.2199008910447019,0.06249137504635145
0.2751277832889507,0.052311799430672046
0.3278667609513062,0.0508198626314228
0.37734141327330006,0.05821564212066559
0.42317130408249104,0.04505932048958448
0.4650908544660615,0.08689005879479461
0.5028212022783464,0.02822771493818609
0.5365172522674748,0.010302971623587044
0.5656901458787987,0.031430704701609975
0.5908303724683959,0.03225546984457184
0.6115606614411113,0.02923216603861984
0.628010237406462,0.0181887421510066
0.640267568869728,0.04461307856865636
0.6483197814753151,0.0492257006917653
0.6524204970327055,0.023567441493388578
0.6522599857043723,0.030510266522789167
0.6476647478386193,0.027482355378434214
0.6390600717200027,0.057039840307060115
0.6262222758999019,0.012596095071489653
0.6090128751584513,0.06410334534739746
0.5871620835339113,0.03739051852567326
0.5608775375573495,0.01953344472611749
0.5300632158854078,0.03134789909793504
0.49427020059430476,0.02602199252738026
0.4533745343860099,0.018126386273801972
0.4072347019327187,0.029689958147632322
0.35582773113501487,0.029218487719253262
0.29863052264582246,0.01580305177051111
0.23560308898717552,0.06031225847388283
0.16187963999746266,0.0749607620029517
0.21810536949506643,0.0790858741315765
0.27317743862345284,0.040344768985270715
0.32579161269445184,0.05774613558492808
0.3751407007070748,0.039862435300991685
0.42085240951382075,0.0140118160070063
0.4625919356884685,0.015255225189217299
0.500130894215513,0.029369943330602305
0.5335070261242777,0.009447338492051179
0.5624645921625449,0.03121543979561637
0.5874577919600109,0.06546291056816711
0.6085268510503834,0.007470349520916803
0.6252307413377358,0.037864990152815914
0.6376928489819763,0.025013272427694067
0.6461527736125595,0.052791217443110966
0.6505202846134552,0.020222523881970652
0.6505754010758631,0.02340642660073736
0.6465794624086653,0.02029504179863963
0.638420490859085,0.018511770880800568
0.625864347799764,0.0368816465756554
0.6088759767426403,0.04744601402032577
0.5874345697724002,0.01926660369729462
0.561432632845464,0.020946167109342835
0.5308527010608697,0.041484044337328344
0.49527299516452894,0.052591595224027794
0.45468063410790255,0.02087230652920965
0.40896376402050383,0.019958201862439535
0.357974473288653,0.03385717888012279
0.30111558978680525,0.051651446173544564
0.23845156372540247,0.06475610985546117
0.16110390437267055,0.09678228906158975
0.21739666538554758,0.084393392239783
0.27249794251428383,0.01703484495170253
0.32531145143811113,0.021315708156793976
0.37498394812152497,0.02178129975305552
0.4210497819876017,0.043243558514481556
0.463278176576824,0.052849503213014175
0.5016101318641885,0.044360687513850465
0.5359013313461207,0.04729163837641564
0.5659292615053617,0.03202074721274072
0.5918820165669831,0.0746977681209102
0.6136944476990996,0.02146484884066756
0.6311392535943867,0.020186059000193476
0.6444105561451595,0.016770899826409374
0.6536130431824259,0.03926996950441319
0.6592408484703677,0.0644117103506048
0.6603500653482994,0.037941500953992
0.6571043459552897,0.01419721602180908
0.6494384581337245,0.020346126790695317
