Dataset,N,RMSE,MAE,R2
训练集 (Train),18454,0.06981599453244931,0.03254444905117143,0.11216444384373392
验证集 (Val),4631,0.07687498232167403,0.036382030896880226,0.03125291138660957
测试集 (Test),4348,0.09185250118206956,0.047936949880645646,-0.04371599408454241
